#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
EVTOPTALoR.415;One less headache for me.;Un souci de moins pour moi.;Eine Sorge weniger für mich.;;Un dolor de cabeza menos para mí.;;;;;;;;;x
EVTTOOLTIPLoR.415;You show no mercy.;Vous n'avez aucune pitié.;Ihr zeigt keine Gnade.;;No muestras piedad. ;;;;;;;;;x
EVTNAMELoR.416;Quarter Is Given;Un peu de pitié;Gnade vor Recht;;Se Da una Tregua;;;;;;;;;x
EVTDESCLoR.416;Spyridon has been impaled on a nearby fence and his dead eyes glare at you accusingly. Anaximandros, however, lies wheezing on the docks with a broken leg. He curses your name as you approach him with your mace. "Why do all this?" you ask him. "What could you possibly gain?"\n\n The little man grins wryly at you. "Eons ago, there were four chariot racing teams: the Blues, the Greens, the Whites and the Reds. Then the two most powerful teams all but absorbed the two weakest. Who speaks of the Whites today? Or the Reds? The domination of the Blues and Greens had to end, Majesty. At any cost. If my nephew Spyridon and I could get them to wipe each other out..." You have heard enough. Varangian Guardsmen on horseback finally catch up with you and are instructed to take Anaximandros away.;Spyridon s'est empalé sur une clôture proche et ses yeux morts vous fixent d'un air accusateur. Anaximandros, quant à lui, gît sur les quais, une jambe cassée et le souffle court. Il maudit votre nom alors que vous vous approchez avec votre masse. « Pourquoi faire tout cela ? Qu'aviez-vous à y gagner ? » demandez-vous.\n\nAvec un sourire ironique, le nain vous dit : « Il y a des années, il existait quatre factions de course de chars : Les Bleus, les Verts, les Blancs et les Rouges. Puis, les deux équipes les plus puissantes ont chacune absorbé les deux plus faibles. Qui parle au nom des Blancs aujourd'hui ou des Rouges ? La domination des Bleus et des Verts devait finir, Majesté. A n'importe quel prix. Si mon neveu Spyridon et moi-même avions pu les monter les uns contre les autres... ». Vous en avez assez entendu. La garde varègue débouche enfin à cheval et vous les chargez d'emmener Anaximandros dans le plus profond cachot.;Spyridon wurde von einem naheliegenden Zaun aufgespießt und seine leeren Augen starren Euch anklagend an. Anaximandros hingegen liegt wimmernd mit gebrochenem Bein auf den Docks. Er verflucht Euren Namen, als Ihr Euch mit erhobenem Streitkolben nähert. "Warum das alles", fragt Ihr ihn. "Was wäre für euch dabei rausgesprungen?"\n\nDer kleine Mann grinst Euch an. "Einst gab es vier Rennställe: die Blauen, die Grünen, die Weißen und die Roten. Die beiden mächtigsten Mannschaften haben die kleineren verdrängt. Wer spricht schon noch von den Weißen oder den Roten? Was bleibt von ihrem Ruhm übrig? Die Dominanz der Blauen und Grünen musste enden. Wenn wir sie dazu bringen könnten, sich gegenseitig auszumerzen..." Ihr habt genug gehört. Als Mitglieder der Warägergarde zu Euch aufschließen, befehlt Ihr ihnen, Anaximandros wegzuschaffen.;;"Spyridon ha sido empalado en una valla cercana y sus ojos muertos te fulminan con mirada acusadora. Anaximandros, en cambio, se encuentra tumbado en los muelles silbando y con sólo con una pierna rota. Maldice tu nombre cuando te le acercas con tu maza. "¿Por qué hacer todo esto? tú le preguntas. ¿Qué sacas, con todo esto?" \n\nEl hombrecito te sonríe irónicamente. "Mucho tiempo atrás, había cuatro equipos de carreras de carros: los Azules , los Verdes, los Blancos y los Rojos. Los dos equipos más poderosos absorbieron a los dos más débiles. ¿Quien habla hoy en día de los Blancos? ¿Y de los Rojos? El dominio de  los Azules y los Verdes tenía que terminar, Su Majestad, esto a cualquier coste. Si mi sobrino Spyridon y yo podíamos conseguir que se eliminaran los unos a los otros..." Has oído lo suficiente. Finalmente soldados Varangian te alcanzan y les ordenas que se lleven a Anaximandros.";;;;;;;;;x
EVTOPTALoR.416;And throw away the key.;Et de perdre la clef.;Und werft den Schlüssel weg.;;Y tira la llave.;;;;;;;;;x
EVTTOOLTIPLoR.417;Constantinople is engulfed in riots!;Constantinople sombre dans les émeutes !;Konstantinopel wird von Unruhen überrollt!;;Constantinopla se sumió en disturbios.;;;;;;;;;x
hippodrome_riots;The city is beset by rioters and hooligans.;La cité est assaillie par les émeutiers et les casseurs.;Die Stadt wird von Aufrührern und Randalierern belagert.;;La ciudad está rodeada de alborotadores y gamberros.;;;;;;;;;x
EVTNAMELoR.417;Riots in Constantinople;Émeutes à Constantinople;Unruhen in Konstantinopel;;Motines en Constantinopla;;;;;;;;;x
EVTDESCLoR.417;Members of the Varangian Guard leap into the arena in defense of their [Root.GetTitle] and swiftly cut down those rioters foolish enough to approach your chariot. They rush you to the safety of your palace, but the rest of Constantinople burns when the upset crowds spill out of the Hippodrome and onto the streets. As you watch the fires spread from your palatial balcony, you raise your fists to the heavens and bellow at the top of your lungs:\n\n"AAANNNNAAAXIMANDROOOS!!!!!!!!!!!!!!";Les membres de la garde varègue bondissent dans l'arène pour défendre leur [Root.GetTitle] et abattent rapidement ces émeutiers assez fous pour approcher votre char. Ils se hâtent de vous mettre à l'abri dans votre palais, mais tout Constantinople s'embrase quand la foule bouleversée s'enfuit hors de l'hippodrome, se répandant dans les rues. Lorsque vous regardez les incendies et le chaos du haut du balcon de votre palais, vous levez vos poings vers le ciel et hurlez à pleins poumons : \n\n«AAANNNNAAAXIMANDROOOS!!!!!!!!!!!!!»;Mitglieder der Warägergarde springen in die Arena, um ihre[Root.GetnMale] [Root.GetTitle] zu verteidigen. Die Aufständischen, die dumm genug sind, sich Eurem Streitwagen zu nähern, bezahlen schnell mit dem Leben. Die Garde bringt Euch in die Sicherheit des Palastes, aber der Rest von Konstantinopel brennt, als die Menge aus dem Hippodrom auf die Straßen stürzt. Von Eurem Balkon aus könnt Ihr sehen, wie sich die Feuer in der Stadt ausbreiten. Ihr hebt Eure Fäuste gen Himmel und schreit Euch die Lunge aus dem Hals.\n\n"AAANNNNAAAXIMANDROOOS!!!!!!!!!!!!!!";;Los miembros de la la Guardia varega saltan a la arena en defensa de su [Root.GetTitle] y rápidamente reducen a aquellos exaltados tan estúpidos como para acercarse a tu carro. Te llevan, a toda velocidad, a la seguridad de tu palacio, pero el resto de Constantinopla arde cuando las multitudes, alteradas, salen del Hipódromo y se vuelcan a las calles. Al ver, desde tu balcón palaciego cómo se extiende el fuego, alzas los puños al cielo y gritas con todas tus fuerzas :\n\n"¡AAANNNNAAAXIMANDROOOS!";;;;;;;;;x
EVTOPTALoR.417;When I get my hands on him...;Quand j'aurai mis la main sur ce scélérat...;Wenn ich ihn in die Finger bekomme ...;;Cuando le pongo las manos encima…;;;;;;;;;x
EVTDESCLoR.500;Chariot races are scheduled to be held soon at the Hippodrome. Eight charioteers from the traditional Blue and Green teams will be competing for glory on the track. You may choose to throw your weight behind one of these factions and bet on them in a show of support.;Les courses de chars sont prévues pour bientôt à l'hippodrome. Huit coureurs des traditionnelles équipes des Bleus et des Verts vont concourir pour la gloire sur la piste. Vous pouvez choisir d'appuyer une de ces factions et de miser sur l'une d'elles pour les soutenir.;Bald sollen wieder Wagenrennen im Hippodrom stattfinden. Acht Fahrer der traditionsreichen blauen und grünen Mannschaft werden sich auf der Strecke um Ruhm und Ehre streiten. Ihr könnt Euch hinter eine dieser Mannschaften stellen und bekannt machen, dass Ihr sie unterstützt.;;Está previso que dentro de poco se celebren carreras de carros en el Hipódromo. Ocho aurigas de los tradicionales equipos Azul y Verde van a competir para obtener la gloria en la pista. Si quieres, puedes darlo todo por una de estas facciones y apostar por ellos en muestra de tu apoyo.;;;;;;;;;x
EVTOPTALoR.500;Support the Blues.;Soutenir les Bleus.;Unterstützt die Blauen.;;Apoya a los Azules.;;;;;;;;;x
EVTOPTBLoR.500;Support the Greens.;Soutenir les Verts.;Unterstützt die Grünen.;;Apoya a los Verdes.;;;;;;;;;x
EVTOPTCLoR.500;I have no time for silly games.;Je n'ai pas de temps pour ces jeux idiots.;Ich habe keine Zeit für dumme Spielchen.;;No tengo tiempo para juegos estupidos.;;;;;;;;;x
hippodrome_nobet;You wash your hands of chariot racing.;La course de chars, je m'en lave les mains.;Ihr wollt mit Wagenrennen nichts mehr zu tun haben.;;Te lavas las manos acerca las carreras de carros.;;;;;;;;;x
EVTTOOLTIPLoR.501;the Blue team winning.;L'équipe des Bleus est vainqueur.;die blaue Mannschaft gewinnt.;;El equipo Azul va ganando.;;;;;;;;;x
EVTDESCLoR.501;It was close, but the Blue team emerged as the winner after a tense final lap. Their triumphant charioteer makes a victory lap to the cheers of the ecstatic crowds. When he passes your seat he bows his head as a sign of respect and gratitude.;Il s'en est fallu de peu, mais après un dernier tour très serré, l'équipe des Bleus est sortie vainqueur. Le coureur triomphant fait un tour d'honneur sous les acclamations de la foule en extase. Lorsqu'il passe devant vous, il courbe la tête en signe de respect et de gratitude.;Es war knapp, aber nach einer spannenden letzten Runde stehen die Blauen als Sieger fest. Der Gewinner dreht vor der tobenden Menge eine Siegesrunde. Als er an Eurem Sitz vorbeifährt, neigt er seinen Kopf als Zeichen von Respekt und Dankbarkeit.;;Estaba cerca, pero el equipo Azul emergió como ganador después de una tensa vuelta final. Su triunfante auriga hace una vuelta de honor ante la ovación de la clamorosa multitud. Y cuando te adelanta, te hace una reverencia en signo de respeto y gratitud.;;;;;;;;;x
EVTOPTALoR.501;I know how to pick a winner.;Je sais miser sur la bonne faction.;Ich weiß, wie ich einen Gewinner auswähle.;;Sé cómo pronosticar un ganador.;;;;;;;;;x
EVTTOOLTIPLoR.502;the Blue team losing.;L'équipe des Bleus perd.;die blaue Mannschaft verliert.;;El equipo Azul va perdiendo.;;;;;;;;;x
EVTDESCLoR.502;The Blue team lost the race after a nail-biting final lap. To the cheers of the crowd, the triumphant Green charioteer makes a victory lap. As he passes your seat, he flashes a gloating smile and gives you a little wave. Fortunately, your quick-thinking servants remove your wine cup before you can hurl it at him.;L'équipe des Bleus perd après un palpitant tour final. Sous les acclamations de la foule, le coureur des Verts fait un tour d'honneur triomphal. Lorsqu'il passe devant vous, il affiche un sourire radieux et vous fait un petit signe de la main. Heureusement que vos serviteurs sont rapides et ont ôté rapidement le verre de vin de votre main avant que vous ne l'ayez balancé sur lui.;Nach einer nervenaufreibenden letzten Runde stehen die Blauen als Verlierer fest. Unter dem Jubel der Menge dreht der grüne Sieger eine Ehrenrunde. Als er an Eurem Sitz vorbeifährt, blitzt ein schadenfrohes Lächeln auf. Glücklicherweise sind Eure Diener so geistesgegenwärtig, Euren Weinpokal zu entfernen, bevor Ihr ihn dem Fahrer hinterherwerfen könnt.;;El equipo Azul perdió la carrera después de una angustiosa última vuelta. Entre la aclamación de la multitud, el triunfante auriga Verde hace una vuelta de honor. Al adelantarte, esboza una sonrisa burlona y te saluda con la mano. Afortunadamente tus ágiles sirvientes te quitan la copa de vino de tus manos antes de que se la arrojes.;;;;;;;;;x
EVTOPTALoR.502;That little...!;Ce petit... !;Dieser kleine ...!;;Ese pequeño ...!;;;;;;;;;x
EVTTOOLTIPLoR.503;the Green team winning.;L'équipe des Verts est vainqueur.;die grüne Mannschaft gewinnt.;;El equipo Verde va ganando.;;;;;;;;;x
EVTDESCLoR.503;It was close, but the Green team emerged as the winner after a tense final lap. Their triumphant charioteer makes a victory lap to the cheers of the ecstatic crowds. When he passes your seat he bows his head as a sign of respect and gratitude.;Il s'en est fallu de peu, mais après un dernier tour très serré, l'équipe des Verts est sortie vainqueur. Le coureur triomphant fait un tour d'honneur sous les acclamations de la foule en extase. Lorsqu'il passe devant vous, il courbe la tête en signe de respect et de gratitude.;Es war knapp, aber nach einer spannenden letzten Runde stehen die Grünen als Sieger fest. Der Gewinner dreht vor der tobenden Menge eine Siegesrunde. Als er an Eurem Sitz vorbeifährt, neigt er seinen Kopf als Zeichen von Respekt und Dankbarkeit.;;Estaba cerca, pero el equipo Verde emergió como ganador después de una tensa vuelta final. Su triunfante auriga hace una vuelta de honor ante la ovación de la clamorosa multitud. Y cuando te adelanta, te hace una reverencia en signo de respeto y gratitud.;;;;;;;;;x
EVTOPTALoR.503;I know how to pick a winner.;Je sais miser sur la bonne faction.;Ich weiß, wie ich einen Gewinner auswähle.;;Sé cómo pronosticar el ganador.;;;;;;;;;x
EVTTOOLTIPLoR.504;the Green team losing.;L'équipe des Verts perd.;die grüne Mannschaft verliert.;;El equipo Verde va perdiendo.;;;;;;;;;x
EVTDESCLoR.504;The Green team lost the race after a nail-biting final lap. To the cheers of the crowd, the triumphant Blue charioteer makes a victory lap. As he passes your seat, he flashes a gloating smile and gives you a little wave. Fortunately, your quick-thinking servants remove your wine cup before you can hurl it at him.;L'équipe des Verts perd après un palpitant tour final. Sous les acclamations de la foule, le coureur des Bleus fait un tour d'honneur triomphal. Lorsqu'il passe devant vous, il affiche un sourire radieux et vous fait un petit signe de la main. Heureusement que vos serviteurs sont rapides et ont ôté rapidement le verre de vin de votre main avant que vous ne l'ayez balancé sur lui.;Nach einer nervenaufreibenden letzten Runde stehen die Grünen als Verlierer fest. Unter dem Jubel der Menge dreht der blaue Sieger eine Ehrenrunde. Als er an Eurem Sitz vorbeifährt, blitzt ein schadenfrohes Lächeln auf. Glücklicherweise sind Eure Diener so geistesgegenwärtig, Euren Weinpokal zu entfernen, bevor Ihr ihn dem Fahrer hinterherwerfen könnt.;;El equipo Verde perdió la carrera después de una angustiosa última vuelta. Entre la aclamación de la multitud, el triunfante auriga Azul hace una vuelta de honor. Al adelantarte, esboza una sonrisa burlona y te saluda con la mano. Afortunadamente tus ágiles sirvientes te quitan la copa de vino de tus manos antes de que se la arrojes.;;;;;;;;;x
EVTOPTALoR.504;That little...!;Ce petit... !;Dieser kleine ...!;;Ese pequeño ...!;;;;;;;;;x
EVTDESCLoR.800;One of the eunuchs at the Imperial Court has distinguished himself and caught the attention of your advisors. Though they are usually of the jealous kind and loathe to admit redeeming qualities in others, even they cannot deny the promise of this young man.;Un des eunuques de la Cour impériale s'est distingué et a attiré l'attention de vos conseillers. Bien qu'ils soient habituellement du style jaloux et qu'ils aient horreur d'admettre les qualités des autres, même eux ne peuvent nier le grand potentiel de ce jeune homme.;Einer der Eunuchen des kaiserlichen Hofes hat sich ausgezeichnet und die Aufmerksamkeit Eurer Berater auf sich gezogen. Auch wenn sie normalerweise eher eifersüchtiger Natur sind und es verabscheuen, positive Eigenschaften anderer anzuerkennen, so können auch sie das Talent dieses jungen Mannes nicht verleugnen.;;Uno de los eunucos de la Corte Imperial se ha destacado  del resto y ha llamado la atención de tus asesores. Aunque por lo general son más bien celosos y detestan reconocer las cualidades redentoras de los demás, no pueden negar la promesa de este joven.;;;;;;;;;x
EVTOPTALoR.800;Very well. Bring this man before me.;Très bien. Amenez-moi cet homme.;Nun gut. Bringt ihn zu mir.;;Muy bien. Traedme este hombre ante mí.;;;;;;;;;x
EVTOPTBLoR.800;He should be cleaning floors and watching over women.;Il devrait laver les sols et surveiller les femmes.;Er sollte Böden reinigen und auf die Frauen aufpassen.;;Él debería estar limpiando suelos y cuidando de las mujeres.;;;;;;;;;x
introduce_eunuch;Your servants leave to fetch the eunuch.;Les serviteurs vont chercher l'eunuque.;Eure Bediensteten gehen, um den Eunuchen zu holen.;;Tus sirvientes van a buscar al eunuco.;;;;;;;;;x
no_to_eunuchs;You refuse to deal with this eunuch.;Vous refusez de négocier avec cet eunuque.;Ihr weigert Euch, Euch mit diesem Eunuchen auseinanderzusetzen.;;Te niegas a tratar con este eunuco.;;;;;;;;;x
EVTDESCLoR.801;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his martial ability.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par aucune vilénie féminine ni jamais ne se retournera contre vous à cause des intrigues. En dépit de ses jeunes années, il a déjà acquis une grande renommée pour ses capacités militaires.;Der Eunuch wird geholt und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des Mannes verbirgt. Seine Loyalität Euch gegenüber steht außer Zweifel. Dieser Mann wird nicht durch weibliche List verführt oder durch dynastische Verbindungen gegen Euch gewendet werden. Trotz seiner Jugend ist er schon für seine kriegerischen Fähigkeiten bekannt.;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, y aquí tienes un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial.;;;;;;;;;x
EVTOPTALoR.801;You will serve me well.;Vous allez m'être bien utile.;Du wirst mir gut dienen.;;Tu me vas a servir bien.;;;;;;;;;x
EVTDESCLoR.802;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his diplomatic ability.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par aucune vilénie féminine ni jamais ne se retournera contre vous à cause des intrigues. En dépit de ses jeunes années, il a déjà acquis une grande renommée pour ses capacités diplomatiques.;Der Eunuch wird geholt und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des Mannes verbirgt. Seine Loyalität Euch gegenüber steht außer Zweifel. Dieser Mann wird nicht durch weibliche List verführt oder durch dynastische Verbindungen gegen Euch gewendet werden. Trotz seiner Jugend ist er schon für seine diplomatischen Fähigkeiten bekannt.;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial.;;;;;;;;;x
EVTDESCLoR.803;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his stewardship.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par aucune vilénie féminine ni jamais ne se retournera contre vous à cause des intrigues. En dépit de ses jeunes années, il a déjà acquis une grande renommée pour ses capacités d'intendance.;Der Eunuch wird geholt und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des Mannes verbirgt. Seine Loyalität Euch gegenüber steht außer Zweifel. Dieser Mann wird nicht durch weibliche List verführt oder durch dynastische Verbindungen gegen Euch gewendet werden. Trotz seiner Jugend ist er schon für seine Fähigkeiten als Kämmerer bekannt.;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su gestión.;;;;;;;;;x
EVTDESCLoR.804;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his skill at intrigue.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par aucune vilénie féminine ni jamais ne se retournera contre vous à cause des complots. En dépit de ses jeunes années, il a déjà acquis une grande renommée pour ses capacités d'intrigues.;Der Eunuch wird geholt und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des jungen Mannes verbirgt. Seine Loyalität Euch gegenüber steht außer Zweifel. Dieser Mann wird nicht durch weibliche List verführt oder durch dynastische Verbindungen gegen Euch gewendet werden. Trotz seiner Jugend ist er schon für seine Intrigen bekannt.;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial. A pesar de su juventud, ya adquirió renombre por sus habilidades en la intriga.;;;;;;;;;x
EVTDESCLoR.805;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his scholarship.;On amène l'eunuque et vous devinez immédiatement la vive intelligence qui se cache derrière son regard. Sa loyauté envers vous est incontestable, et c'est un homme qui ne saura se laisser séduire par aucune vilénie féminine ni jamais ne se retournera contre vous à cause des intrigues. En dépit de ses jeunes années, il a déjà acquis une grande renommée pour sa vaste culture et son grand savoir.;Der Eunuch wird geholt und Ihr könnt sofort erkennen, dass sich ein scharfer Verstand hinter den Augen des jungen Mannes verbirgt. Seine Loyalität Euch gegenüber steht außer Zweifel. Dieser Mann wird nicht durch weibliche List verführt oder durch dynastische Verbindungen gegen Euch gewendet werden. Trotz seiner Jugend ist er schon für seine Bildung bekannt.;;Te traen el eunuco e inmediatamente te das cuenta, por su mirada, que posee una gran inteligencia. No hay duda de su lealtad hacia ti, he  aquí un hombre que no va a dejarse seducir por las artimañas de las mujeres ni se va a volver a tu contra por cuestiones de lazos dinásticos. A pesar de su juventud, ya adquirió renombre por su habilidad marcial. A pesar de su juventud, ya adquirió renombre por su erudición.;;;;;;;;;x
EVTDESCLoR.830;Your prisoner has been blinded and released. Another threat to your ambitions dealt with.;Votre prisonnier a été aveuglé puis relâché. Une autre menace à vos ambitions vient d'être écartée.;Euer Gefangener wurde geblendet und freigelassen. Ein weiteres Hindernis für Eure Pläne ist aus dem Weg geräumt.;;Tu  preso ha sido cegado y puesto en libertad. Otra amenaza a tu ambición.;;;;;;;;;x
EVTOPTALoR.830;Watch your step.;Attention à la marche.;Seid vorsichtig!;;Ándate con pies de plomo.;;;;;;;;;x
EVTTOOLTIPLoR.831;§Y[Root.GetTitledFirstName]§! is blinded.;On ôte la vue à §Y[Root.GetTitledFirstName]§!.;§Y[Root.GetTitledFirstName]§! wurde geblendet.;;§Y[Root.GetTitledFirstName]§! es ciego.;;;;;;;;;x
EVTDESCLoR.831;Your jailors enter your cell grinning from ear to ear - something experience has taught you is a very bad sign. "Good news!" one of them says cheerfully. "New orders from the [From.GetTitle]. Ye are to be set free... after ye have been blinded. Take a good look at this cell, because it is the last thing ye shall ever lay eyes on!";Vos geôliers entrent dans votre cellule en souriant à pleines dents - par expérience, vous savez que c'est mauvais signe. «Bonnes nouvelles ! » dit gaiement l'un d'eux. «[From.GetTitle] a donné de nouveaux ordres. Tu vas être libéré... Mais avant, on va t'aveugler. Regarde attentivement ce cachot, parce que c'est la dernière chose que tes yeux pourront voir désormais! »;Eure Gefängnisaufseher betreten Eure Zelle mit einem Grinsen über beide Ohren. Etwas, was Eurer Erfahrung nach ein schlechtes Zeichen ist. "Gute Nachrichten", sagte einer von ihnen heiter. "Neue Befehle vom [From.GetTitle]. Du wirst freigelassen ... nachdem du geblendet wurdest. Schaue dir diese Zelle gut an, denn es ist das Letzte, was deine Augen erblicken können!";;Tus carceleros entran en tu celda con una sonrisa de oreja a oreja - la experiencia te ha enseñado que esto es una muy mala señal. "¡Buenas noticias!" Te dice alegremente, uno de ellos. "Tenemos nuevas órdenes de parte de [From.GetTitle]. Serás liberado... pero antes tienes que perder la vista. Ahora eche un buen vistazo a esta celda, porque es la última cosa que va a ver!";;;;;;;;;x
EVTOPTALoR.831;S-stay away from me!;R-restez loin de moi !;B-bleibt weg von mir!;;¡A-aléjate de mí!;;;;;;;;;x
EVTDESCLoR.832;Your prisoner has been castrated and released. His screams could be heard all the way to your chambers.;Votre prisonnier a été castré puis relâché. Son cri a pu être entendu jusqu'à la chambre du Conseil.;Euer Gefangener wurde kastriert und freigelassen. Seine Schreie waren bis in Eure Kammern zu vernehmen.;;Tu preso ha sido castrado y puesto en libertad. Sus fuertes gritos se oyeron desde tus aposentos.;;;;;;;;;x
EVTOPTALoR.832;He had it coming.;Il a eu ce qu'il méritait.;Er hat es darauf angelegt.;;Se lo tenía merecido.;;;;;;;;;x
EVTTOOLTIPLoR.833;§Y[Root.GetTitledFirstName]§! is castrated.;§Y[Root.GetTitledFirstName]§! a été castré.;§Y[Root.GetTitledFirstName]§! wurde kastriert.;;§Y[Root.GetTitledFirstName]§! está castrado.;;;;;;;;;x
EVTDESCLoR.833;The commotion outside your cell wakes you suddenly and you demand to know what is going on. Your jailors enter accompanied by an old, toothless man who is carrying a satchel full of surgical instruments. "The [From.GetTitle], in [From.GetHerHis] infinite mercy, has ordered your release," one of the guards says. "After your castration is complete.";Vous vous faites brutalement réveiller par les rires et l'agitation des gardes près de la porte de votre cellule et vous vous demandez ce qu'il se passe. Vos geôliers entrent, accompagnés d'un vieil homme édenté qui transporte une sacoche pleine d'instruments chirurgicaux. Le [From.GetTitle], dans son infinie miséricorde, a ordonné votre libération, explique l'un des gardes. Après bien sûr que votre castration soit terminée.;Der Tumult vor Eurer Zelle weckt Euch plötzlich und Ihr verlangt zu erfahren, was da vor sich geht. Eure Gefängniswärter kommen in Begleitung eines alten, zahnlosen Mannes herein, der einen Beutel voller chirurgischer Instrumente trägt. "Der [From.GetTitle] hat in unendlicher Güte Eure Freilassung angeordnet", sagt eine Wache. "Aber erst, nachdem du kastriert wurdest.";;De repente te despiertas por el jaleo que hay fuera de tu celda y preguntas qué es lo que está pasando. Tus carceleros entran acompañados por un viejo desdentado que lleva un maletín lleno de instrumentos quirúrgicos. "El [From.GetTitle], en [From.GetHerHis] infinita misericordia, ha ordenado tu liberación", dice uno de los guardias. "Después de que tu castración haya sido completada.";;;;;;;;;x
EVTOPTALoR.833;No! NO!!! NOOOOOO!!!!!;Non ! NON !!! NOOOOON !!!!!;Nein! NEIN! NEIIIIIN!!!!;;¡No! ¡NO! ¡NOOOOOO!!!!!;;;;;;;;;x
EVTDESCLoR.834;You have the boy castrated and turned into a eunuch. You're a real piece of work, aren't you?;Vous avez castré le jeune garçon et l'avez transformé en eunuque. Vous êtes une véritable ordure, n'est-ce pas ?;Ihr habt den Jungen kastrieren lassen und ihn zu einem Eunuchen gemacht. Ihr seid schon etwas Besonderes, nicht wahr?;;Tienes el chico castrado y convertido en eunuco. ¿Tú eres una obra maestra, verdad?;;;;;;;;;x
EVTOPTALoR.834;These are violent times.;Nous vivons une époque violente.;Dies sind gewalttätige Zeiten.;;Son tiempos violentos.;;;;;;;;;x
EVTDESCLoR.840;Supporters of the Blue and Green chariot teams have clashed at the Hippodrome and riots have broken out! The City Guard is fighting to contain the situation, but the Varangian Guard is also standing by. They would make mincemeat of any hooligans before the riot has a chance of spreading to other districts, but there could be significant collateral damage...;Les supporters des Bleus et des Verts s'affrontent dans l'hippodrome et des émeutes ont éclaté ! La garde de la Cité se bat pour contenir la situation, mais la garde varègue est également prête à intervenir. Ses hommes pourront hacher menu tous ces vandales avant que l'émeute ne se propage dans d'autres quartiers. Mais il pourrait y avoir des dommages collatéraux importants ...;Unterstützer der blauen und grünen Streitwagenmannschaft sind im Hippodrom aufeinandergestoßen und Ausschreitungen sind losgebrochen! Die Stadtwache kämpft darum, die Situation unter Kontrolle zu halten, doch die Warägergarde hält sich bereit. Sie würden Hackfleisch aus allen Unruhestiftern machen, bevor der Aufruhr eine Chance hätte, sich in andere Bereiche auszuweiten. Jedoch könnte es einige Kollateralschäden geben ...;;¡Los seguidores de los equipos Azul y Verde tuvieron un enfrentamiento en el Hipódromo y los disturbios han estallado! La Guardia de la Ciudad está luchando para controlar la situación, pero la la Guardia varega también está en estado de alerta. Ellos harían picadillo a cualquier alterado para evitar que los disturbios se expandieran hacia otros distritos, pero eso provocaría inumerables daños colaterales...;;;;;;;;;x
