#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;de face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x # child - chaste gluttonous
EVTDESC_TOG_7011;I am not sure that athleticism runs in my family, but it never hurts to try a little. However, my subjects have raised some curious eyebrows when they've spotted me lifting barrels and rocks for fun and exercise... I've just felt inspired!;Je ne crois pas que l'agilité soit de famille, mais cela ne fait pas de mal d'essayer. Cependant, mes sujets m'ont regardé étrangement lorsqu'ils ont vu que je soulevais des tonneaux et des grosses pierres pour le plaisir et l'exercice... J'ai simplement senti l'inspiration !;Ich weiß zwar nicht, ob es in unserer Familie je einen Athleten gab, aber ein Versuch kann nicht schaden. Meine Untertanen rollen allerdings schon mit den Augen, wenn sie sehen, wie ich im Training mit großem Vergnügen Fässer und Felsen anhebe ... Ich fühlte mich eben inspiriert!;;No estoy seguro/a de que en mi familia seamos deportistas, pero por intentarlo no pasa nada. Sin embargo, mi súbditos han alzado las cejas con curiosidad cuando me ve levantando barriles y rocas por diversión... ¡me siento inspirado/a!;;;;;;;;;x
EVTOPTA_TOG_7011;I'd love to see my grand[Root.GetFatherMother] do one-handed push-ups like these!;J'aurais aimé voir m[Root.GetOnA] grand-[Root.GetFatherMother] soulever avec une main de tels poids !;Zu gerne würde ich sehen, wie Großmutter oder Großvater mit einer Hand so wie ich gerade Liegestütze machen!;;¡A ver si mi Antepasado puede hacer flexiones con un solo brazo como estas!;;;;;;;;;x
EVTDESC_TOG_7012;I guess it could be the nettle soup I've started eating lately, or the recent good weather, but I feel invigorated. I even got a compliment today, saying I looked several years younger! Is this the work of the Ancestors?;Cela pourrait être dû à la soupe aux orties que j'ai mangée dernièrement, ou le beau temps de ces derniers jours, mais je ressens une nouvelle vitalité. J'ai même reçu un compliment aujourd'hui, à savoir que j'ai l'air d'avoir quelques années de moins ! Serait-ce le travail des Ancêtres ?;Möglicherweise hat es mit der Nesselsuppe zu tun, die ich seit Kurzem immer esse. Oder vielleicht am guten Wetter in letzter Zeit. Jedenfalls fühle ich mich voller Leben. Heute wurde mir gar das Kompliment gemacht, ich sähe einige Jahre jünger aus! Ist dies das Werk der Ahnen?;;Puede ser la sopa de ortigas que he empezado a comer hace poco, o el buen tiempo que hace últimamente, pero me siento fortalecido/a. Incluso he recibido un halago, ¡diciendo que parece que tenga menos años! ¿Será obra de los Antepasados?;;;;;;;;;x
EVTOPTA_TOG_7012;I feel amazing!;Je me sens en pleine forme !;Ich fühle mich fabelhaft!;;¡Me siento increíble!;;;;;;;;;x
EVTDESC_TOG_7013;Ever since I begged the Ancestors to aid me with my failing health, I have been feeling... off. More off than usual, that is. Perhaps I asked for too much?;Depuis que j'ai demandé aux Ancêtres de m'aider avec ma santé chancelante, je me sens... mal. Plus que d'habitude, je dirais. Peut-être en ai-je trop demandé ?;Seit ich die Ahnen darum gebeten habe, meine angegriffene Gesundheit in Ordnung zu bringen, fühle ich mich ein wenig ... unwohl. Unwohler als sonst, meine ich. Habe ich vielleicht zu viel verlangt?;;Desde que rogué a los Antepasados que me ayudasen con la salud en declive, me he sentido... mal. Más de lo normal. ¿A lo mejor pedí demasiado?;;;;;;;;;x
EVTOPTA_TOG_7013;I hope I'm just being paranoid...;J'espère être simplement trop paranoïaque...;Hoffentlich bin ich bloß paranoid ...;;Espero que solo sea paranoia...;;;;;;;;;x
EVTDESC_TOG_7014;It is impossible to prove, but I do think I feel slightly better than usual. There is an additional spring in my step and my mind is clearer. I am sure that the Ancestors are with me, keeping me strong and safe!;C'est impossible à prouver, mais je crois me sentir dans une bien meilleure forme que d'habitude. Il y a un nouvel élan dans mes pas et j'ai l'esprit plus clair. Mon sentiment est que les Ancêtres sont avec moi, me donne de la force et me garde en bonne santé !;Es ist nicht zu beweisen, aber in der Tat denke ich, dass es mir etwas besser geht als sonst. Mein Gang ist etwas beschwingter und mein Geist ist klarer als sonst. Die Ahnen sind mit mir und sorgen dafür, dass ich stark und sicher leben kann!;;Es imposible probarlo, pero creo que me siento ligeramente mejor que lo normal. Camino con un brío extra y siento la mente despejada. ¡Estoy seguro/a que los Antepasados están conmigo, manteniéndome fuerte y salvo/a!;;;;;;;;;x
EVTOPTA_TOG_7014;Ancestors, I thank you for your blessing!;Ancêtres, je vous remercie pour votre grâce !;Ahnen, danke für Euren Segen!;;¡Gracias por vuestra bendición, Antepasados!;;;;;;;;;x
EVTDESC_TOG_7015;No one can explain why, but the affliction which has been tormenting me for these last few weeks seems to have left my body! All of the symptoms are gone and I feel as healthy as ever. By [Root.Religion.GetHighGodName], it is truly a miracle!;Personne ne peut dire pourquoi, mais l'affliction qui me frappait ces dernières semaines a quitté mon corps ! Je me sens en pleine forme. C'est un vrai miracle !;Niemand hat eine Erklärung dafür, aber das Leiden, das mich die letzten Wochen plagte, scheint meinen Körper verlassen zu haben! Alle Symptome sind verschwunden und ich fühle mich gesund wie nie. Bei [Root.Religion.GetHighGodName], es ist wahrhaftig ein Wunder!;;¡Nadie puede explicar el por qué, pero la dolencia que me había estado atormentando estas últimas semanas parece haber abandonado mi cuerpo! Todos los síntomas se han ido y me siento más sano/a que nunca. ¡Por [Root.Religion.GetHighGodName], es un auténtico milagro!;;;;;;;;;x
EVTOPTA_TOG_7015;Give praise to [Root.Religion.GetHighGodName] and the Ancestors!;Que [Root.Religion.GetHighGodName] et les Ancêtres soient loués !;Preiset [Root.Religion.GetHighGodName] und die Ahnen!;;¡Alabemos a [Root.Religion.GetHighGodName] y los Antepasados!;;;;;;;;;x
EVTDESC_TOG_7020;I don't know why I have never noticed [ancestors_lover.GetTitledFirstName] before. In fact, I have some memory of finding [ancestors_lover.GetHerHim] the opposite of attractive! Yet I find myself drawn to [ancestors_lover.GetHerHis] side. I think perhaps the Ancestors have steered me in [ancestors_lover.GetHerHis] direction.;Je ne sais pas pourquoi je n'ai jamais remarqué [ancestors_lover.GetTitledFirstName] auparavant. En fait, j'ai même le souvenir d'avoir trouvé qu'[ancestors_lover.GetIlElle] n'avait aucun charme. Je pense que ce sont les Ancêtres qui me poussentà aller vers [ancestors_lover.GetLuiElle].;Ich weiß nicht, warum [ancestors_lover.GetTitledFirstName] mir nicht schon viel früher aufgefallen ist. In der Vergangenheit habe ich [ancestors_lover.GetHerHim] tatsächlich für das Gegenteil von attraktiv gehalten! Doch nun fühle ich mich zu [ancestors_lover.Getihmihr] hingezogen. Vermutlich haben mich die Ahnen in diese neue Richtung gelenkt.;;No sé por qué no me había fijado antes en [ancestors_lover.GetTitledFirstName]. ¡De hecho, recuerdo haber[ancestors_lover.GetHerHim] visto como lo opuesto a lo atractivo! Sin embargo, me veo atraído/a a su lado. Creo que quizá los Antepasados me han dirigido en [ancestors_lover.GetHerHis] dirección.;;;;;;;;;x
EVTOPTA_TOG_7020;I'm aching to confess my love to [ancestors_lover.GetHerHim]!;J'ai très envie de lui avouer mon amour !;Ich brenne darauf, [ancestors_lover.Getihmihr] meine Liebe zu offenbaren!;;¡Me muero por confesar mi amor a [ancestors_lover.GetHerHim]!;;;;;;;;;x
EVTOPTB_TOG_7020;I am still not convinced we are right for each other...;Je n'ai pas encore la conviction que nous sommes faits l'un pour l'autre.;Ich bin noch nicht ganz sicher, ob wir wirklich die Richtigen füreinander sind ...;;Aun no estoy convencido/a de que seamos el uno para el otro...;;;;;;;;;x
EVTDESC_TOG_7021;There are few things I enjoy more than the company of [ancestors_friend.GetTitledFirstName]. I know we weren't always this close, but it's hard to recall a time when we weren't. In times like these, it's rare to have such a trusted confidant.;Il y a peu de choses qui me réjouissent plus que la compagnie de [ancestors_friend.GetTitledFirstName]. Je sais que nous n'avons pas toujours été si proches, mais c'est difficile de se rappeler un moment où nous ne l'étions pas du tout. Il est rare de pouvoir se confier à quelqu'un de nos jours.;Wenig gibt es, was ich der Gesellschaft von [ancestors_friend.GetTitledFirstName] vorziehen würde. Ich weiß, dass wir uns nicht immer so nah waren, aber die Zeiten, in denen dies nicht so war, scheinen in weite Ferne gerückt. In Zeiten wie diesen ist es selten, jemanden zu haben, dem man solches Vertrauen schenken kann.;;Hay pocas cosas que disfrute más que la compañía de [ancestors_friend.GetTitledFirstName]. Sé que no siempre fuimos tan íntimos/as, pero me cuesta recordar cuándo no lo éramos. En estos momentos, es difícil tener un/a confidente tan leal.;;;;;;;;;x
EVTOPTA_TOG_7021;May our descendants be the best of allies as well!;Que nos descendants soient eux aussi les meilleurs alliés !;Mögen Eure Nachkommen ebenso gute Verbündete sein!;;¡Ojalá nuestros descendientes también sean los mejores aliados!;;;;;;;;;x
EVTOPTB_TOG_7021;Although it's really annoying, the way they chew with an open mouth.;Bien que ce soit très énervant lorsqu'[ancestors_friend.GetIlElle] mâche la bouche ouverte;Auch wenn es wirklich grässlich ist, wie sie mit offenem Munde kauen.;;Aunque irrita de verdad ver cómo mastica con la boca abierta.;;;;;;;;;x
EVTDESC_TOG_7022;I've been thinking a lot about my Ancestors lately and I'm reminded by the elusive nature of friendships... I try to be myself, but it's not always that easy to get along with people. However, I want to make an effort.;J'ai beaucoup pensé à mes Ancêtres dernièrement et cela me rappelle le caractère indéfinissable de l'amitié... J'essaie d'être moi-même, mais ce n'est pas toujours simple de bien s'entendre avec les gens. Cependant, je veux faire un effort.;In den letzten Tagen habe ich immer wieder an meine Ahnen gedacht und habe mich an die schwer zu fassende Natur der Freundschaft erinnert ... Ich versuche, ich selbst zu sein, aber es ist nicht immer einfach, mit den Menschen zurechtzukommen. Trotzdem werde ich mich in dieser Hinsicht bemühen.;;Últimamente he estado pensando mucho en mis antepasados y se me recuerda la naturaleza fuga de las amistades... Intento ser yo mismo/a, pero no siempre es fácil llevarse bien con los demás. Sin embargo, quiero hacer el esfuerzo.;;;;;;;;;x
EVTOPTA_TOG_7022;Communication is key.;Communiquer est la clé.;Kommunikation ist der Schlüssel.;;La comunicación es la clave.;;;;;;;;;x
EVTDESC_TOG_7023;Did [ancestors_rival.GetTitledFirstName] always bug me like this? Not only does [ancestors_rival.GetSheHe] constantly interrupt my speech, but when we walk past each other [ancestors_rival.GetSheHe] has even stopped greeting me - and I am the [Root.GetTitle]! What have I done to deserve to be treated this way?;[ancestors_rival.GetTitledFirstName] a-t-[ancestors_rival.GetIlElle] toujours été aussi pénible ? Non seulement [ancestors_rival.GetIlElle] m'interrompt sans cesse, mais en plus [ancestors_rival.GetIlElle] ne me salue plus lorsque nous nous croisons ! Alors que je suis s[Root.GetOnA] [Root.GetTitle]! Qu'ai-je fait pour mériter cette attitude ?;Hat [ancestors_rival.GetTitledFirstName] mich schon immer derart gestört? Ständig unterbricht [ancestors_rival.GetSheHe] mich und nun hat [ancestors_rival.GetSheHe] sogar aufgehört mich zu grüßen. Dabei bin ich doch [Root.GetTitle]! Was habe ich denn getan, dass ich so behandelt werde?;;¿[ancestors_rival.GetFirstName] siempre me molestó de esta manera? [ancestors_rival.GetSheHeCap] no solo me interrumpe constantemente al hablar, si no que cuando nos cruzamos, [ancestors_rival.GetSheHe] hasta se para a saludarme, ¡soy el/la [Root.GetTitle]! ¿Qué he hecho para merecer que me traten de este modo?;;;;;;;;;x
EVTOPTA_TOG_7023;The nerve of that [ancestors_rival.GetManWoman]!;Quel toupet !;Was für eine unverschämte Person!;;¡Qué desfachatez la de ese/a [ancestors_rival.GetManWoman]!;;;;;;;;;x
EVTDESC_TOG_7024;Recently I have felt as if I have gained a totally new understanding of my people. What drives and inspires them, attracts or repulses them - it all seems so clear now. I do not think I am imagining things, because I have been met with more respect than ever before.;Récemment j'ai eu le sentiment d'avoir une toute nouvelle compréhension de mon peuple. Ce qui les inspire et les révulse, cela me semble clair à présent. Je ne crois pas que je m'imagine des choses, parce qu'on me montre plus de respect qu'auparavant.;In letzter Zeit scheint es mir, als hätte ich ein völlig neues Verständnis über mein Volk errungen. Was sie motiviert und was sie abstößt ... all dies erscheint mir nun sonnenklar. Ich glaube nicht, dass ich mir das nur einbilde. In der Tat begegnet man mir mit mehr Respekt als früher.;;Recientemente me siento como si hubiera conseguido una nueva comprensión de mi pueblo. Lo que les impulsa y les inspira, lo que les atrae o les repele... ahora todo está tan claro. Creo que no me lo estoy imaginando porque jamás he recibido más respeto que ahora.;;;;;;;;;x
EVTOPTA_TOG_7024;Perhaps the Ancestors are guiding me?;Peut-être que les Ancêtres me guident ?;Ob die Ahnen wohl leitend die Hand über mich halten?;;¿A lo mejor los Antepasados me guían?;;;;;;;;;x
EVTDESC_TOG_7025;Recently this gorgeous black and white cat has been following me around everywhere. It seems as if it has decided that I am its [Root.GetMasterMistress]! I did ask the Ancestors for help with my relationships, although this is not quite what I had in mind.;Dernièrement, un superbe chat noir et blanc me suis partout. C'est comme s'il avait décidé que j'étais s[Root.GetOnA] [Root.GetMasterMistress]! J'ai demandé de l'aide aux Ancêtres pour m'aider dans mes relations, mais ce n'est pas vraiment ce que j'avais à l'esprit.;Seit Neuestem folgt mir diese wunderschöne weiße Katze auf Schritt und Tritt. Sie hält mich wohl für ihre[Root.GetnMale] neue[Root.GetnMale] [Root.GetMasterMistress]! Ich habe die Ahnen um Hilfe bei der Verbesserung meiner Beziehungen gebeten, aber so hatte ich mir das eigentlich nicht vorgestellt.;;De un tiempo a este parte, este hermoso gato blanco y negro me ha estado siguiendo a todas partes. ¡Parece haber decidido que soy su [Root.GetMasterMistress]! Pedí a los Antepasados ayuda con mis relaciones, pero esto no es lo que había pensado.;;;;;;;;;x
EVTOPTA_TOG_7025;But it is so cute. Come here, kitty!;Mais il est tellement mignon. Viens ici, minou !;Aber sie ist so süß. Komm zu mir, mein Kätzchen!;;Pero es tan mono. ¡Ven, gatito!;;;;;;;;;x
EVTOPTB_TOG_7025;Shoo! Go away!;Ouste ! Va-t'en !;Husch, husch! Verschwinde!;;¡Fuera, vete!;;;;;;;;;x
EVTDESC_TOG_7030;I have recently noticed one of my soldiers. [ancestors_commander.GetFirstName] is something else, to say the least. [ancestors_commander.GetSheHeCap] outmaneuvers warriors with twice [ancestors_commander.GetHerHis] experience in the sparring ring on a regular basis. Perhaps I can find [ancestors_commander.GetHerHim] a new position?;J'ai récemment remarqué quelqu'un parmi mes soldats. [ancestors_commander.GetFirstName] n'est pas comme les autres, c'est le moins que l'ont puisse dire. [ancestors_commander.GetIlElleCap] domine régulièrement en manoeuvrant plus habilement que ses adversaires bien plus expérimentés sur le terrain d'entraînement. Peut-être pourrais-je lui trouver un nouveau poste ?;Vor Kurzem ist mir aufgefallen, dass einer meiner Soldaten, [ancestors_commander.GetFirstName], nicht ganz das ist, was er zu sein scheint – um es vorsichtig zu formulieren. [ancestors_commander.GetSheHeCap] besiegt im Training regelmäßig Kämpfer, die doppelt so viel Erfahrung haben. Vielleicht sollte ich diesem Talent eine neue Aufgabe zuteilen?;;Hace poco me he fijado en uno de mis soldados. [ancestors_commander.GetFirstName] es algo fuera de lo normal, por decir poco. [ancestors_commander.GetSheHe] supera guerreros con una experiencia que dobla la [ancestors_commander.GetHerHis]ya en el ring de entrenamiento de manera regular. ¿Tal vez puedo encontrar un nuevo puesto para [ancestors_commander.GetSheHe]?;;;;;;;;;x
EVTOPTA_TOG_7030;Maybe the Ancestors sent [ancestors_commander.GetHerHim] to me?;Peut-être que mes Ancêtres me l'envoient ?;Haben vielleicht die Ahnen [ancestors_commander.GetHerHim] zu mir geschickt?;;¿Quizá me [ancestors_commander.GetHerHim] han enviado los Antepasados?;;;;;;;;;x
EVTDESC_TOG_7032;If my Ancestors ever taught me anything, it is that a warrior's greatness is not only measured by the strength of [Root.GetHerHis] arm or  [Root.GetHerHis] skill with [Root.GetHerHis] weapon. To truly dominate a battlefield, one must know how to analyze the flow of battle and how to lead one's troops.;Si mes Ancêtres m'ont bien enseigné une chose, c'est que la grandeur guerrière n'est pas seulement mesurée par la force de son bras ou son aptitude à manier une arme. Pour vraiment dominer le champ de bataille, il faut savoir observer le déroulement des batailles et comment mener ses troupes.;Wenn ich von den Ahnen etwas gelernt habe, dann, dass man die Größe eines Kriegers nicht an Körperkraft oder dem Geschick mit der Waffe erkennt, sondern daran, dass er sich darauf versteht, den Verlauf einer Schlacht zu lesen und die Truppen zu führen. Denn dieses Vermögen führt zu Überlegenheit auf dem Schlachtfeld.;;Si algo me han enseñado mis Antepasados es que la grandeza de un guerrero no se mide solo por la fuerza de [Root.GetHerHis] brazo o [Root.GetHerHis] habilidad con las armas. Para dominar de verdad el campo de batalla, uno debe saber cómo analizar el flujo del combate y cómo liderar a las tropas.;;;;;;;;;x
EVTOPTA_TOG_7032;I can almost feel my ancestor's guiding touch.;Je me sens pour ainsi dire guidé par mes ancêtres.;Ich kann die Unterstützung meiner Ahnen beinahe körperlich spüren.;;Casi siento la guía de mis predecesores.;;;;;;;;;x
EVTDESC_TOG_7033;[Root.Religion.GetRandomEvilGodName] be cursed! Today I made a senseless mistake in the sparring ring which had devastating consequence. My opponent was not ready and [Root.GetHerHis] blade easily cut through my armor. Have my Ancestors withdrawn their protection?;Je maudis [Root.Religion.GetRandomEvilGodName] ! Aujourd'hui j'ai fait une erreur stupide sur le terrain d'entraînement, ce qui a eu de graves conséquences. Mon adversaire n'était pas prêt et sa lame a facilement transpercé mon armure. Mes Ancêtres m'auraient-ils retiré leur protection ?;Verflucht sei [Root.Religion.GetRandomEvilGodName]! Heute unterlief mir bei der Kampfübung ein Fehler mit schrecklichen Konsequenzen. Mein Gegner war noch nicht bereit und seine Klinge drang mühelos durch meine Rüstung. Haben die Ahnen ihren Schutz mir gegenüber aufgegeben?;;¡Maldito sea [Root.Religion.GetRandomEvilGodName]! Hoy cometí un error sin sentido en el ring de entrenamiento que tuvo consecuencias tremendas. Mi oponente no estaba listo y [Root.GetHerHis] espada atravesó mi armadura con facilidad. ¿Me he retirado los Antepasados su protección?;;;;;;;;;x
EVTOPTA_TOG_7033;I will never be the same again.;Je ne serai plus jamais [Root.GetLeLa] même.;Ich werde niemals mehr so sein wie früher.;;Nunca seré el/la mismo/a.;;;;;;;;;x
EVTDESC_TOG_7034_A;My [Root.GetMarshalName] [ancestors_marshal.GetFirstName] has suggested some interesting changes concerning how we train and equip our soldiers. [ancestors_marshal.GetSheHeCap] claims the ideas came from a flash of inspiration. I am sure we have the Ancestors to thank!;Mon [Root.GetMarshalName], [ancestors_marshal.GetFirstName], a suggéré d'intéressants changements concernant l'entraînement et l'équipement de nos soldats. [ancestors_marshal.GetIlElleCap] déclare que l'idée lui est venue d'une vision. J'ai la conviction que ce sont les Ancêtres qu'il faut remercier !;Mein [Root.GetMarshalName] [ancestors_marshal.GetFirstName] hat einige interessante Änderungen hinsichtlich des Trainings und der Ausrüstung unserer Soldaten vorgeschlagen. [ancestors_marshal.GetSheHeCap] behauptet, eine plötzliche Inspiration sei über ihn gekommen! Ich bin sicher, dass wir dies den Ahnen zu verdanken haben!;;Mi [Root.GetMarshalName] [ancestors_marshal.GetFirstName] ha sugerido algunos cambios interesantes respecto a cómo entrenamos y equipamos a nuestros soldados. [ancestors_marshal.GetSheHeCap] afirma que las ideas llegaron en un rayo de inspiración. ¡Seguro que se lo debemos agradecer a los Antepasados!;;;;;;;;;x
EVTDESC_TOG_7034_B;One of my commanders has suggested some interesting changes concerning how we train and equip our soldiers. They claim the ideas came from a flash of inspiration. I am sure we have the Ancestors to thank!;Un de mes commandants a suggéré d'intéressants changements concernant l'entraînement et l'équipement de nos soldats. Ce serait par une inspiration soudaine que l'idée lui serait venue. J'ai la conviction que ce sont les Ancêtres qu'il faut remercier !;Meine Befehlshaber haben einige interessante Änderungen hinsichtlich des Trainings und der Ausrüstung unserer Soldaten vorgeschlagen. Sie behaupten, eine plötzliche Inspiration sei über sie gekommen! Ich bin sicher, dass wir dies den Ahnen zu verdanken haben!;;Uno de mis comandantes ha sugerido algunos cambios interesantes respecto a cómo entrenamos y equipamos a nuestros soldados. Afirma que las ideas llegaron en un rayo de inspiración. ¡Seguro que se lo debemos agradecer a los Antepasados!;;;;;;;;;x
EVTOPTA_TOG_7034;Let us give these ideas a try!;Essayons ces idées !;Wir sollten diese Ideen in der Praxis erproben!;;¡Probemos estas ideas!;;;;;;;;;x
EVTDESC_TOG_7035;It seems as if people from far and wide have heard of my offering to the Ancestors. Now they are flocking to join my armies in quest for the glory of old. Together we will honor the Ancestors on the battlefield!;Il semble que tout le monde a entendu parler de mon offrande aux Ancêtres. En effet, des guerriers, parfois venus de très loin, affluent pour rejoindre mes armées en quête de la gloire des Anciens. Ensemble nous honorerons les Ancêtres sur le champ de bataille.;Offenbar haben viele Menschen in Nah und Fern von meinen Opfern an die Ahnen gehört. Sie strömen herbei, um sich meinen ruhmreichen Truppen anzuschließen. Gemeinsam werden wir den Ahnen auf dem Schlachtfeld Ehre machen!;;Parece como si gente de todos los rincones se hubiera enterado de mi ofrenda a los Antepasados. Ahora acuden en masa para unirse a mis ejércitos en busca de la antigua gloria. ¡Juntos honraremos a los Antepasados en el campo de batalla!;;;;;;;;;x
EVTOPTA_TOG_7035;Power to [Root.Realm.GetName]!;Gloire à notre [Root.Realm.GetName]!;[Root.Realm.GetName] sei gepriesen!;;¡Poder para [Root.Realm.GetName]!;;;;;;;;;x
EVTDESC_TOG_7050;I have been contemplating the tales of my Ancestors. I am more than a little impressed by their wit and I think I have picked up a thing or two from my studies. They really are great source of inspiration and knowledge.;J'ai contemplé les récits de mes Ancêtres. Leur intelligence m'a impressionné, et je pense en avoir retiré une ou deux choses. Ils sont vraiment une grande source d'inspiration et de savoir.;Ich habe über die Geschichten meiner Ahnen nachgedacht. Ich bin mehr als beeindruckt von ihrem Einfallsreichtum und ich glaube, ich habe die ein oder andere Sache von ihnen lernen können. Sie sind wirklich eine großartige Quelle des Wissens und der Inspiration.;;He estado contemplando las historias de mis Antepasados. Estoy más que ligeramente impresionado/a por su ingenio y creo que he aprendido una cosa o dos con mis estudios. Son en verdad una gran fuente de inspiración y conocimiento.;;;;;;;;;x
EVTOPTA_TOG_7050;We can always learn from those who came before.;Nous avons à apprendre de ceux qui étaient là avant nous.;Wir können viel aus der Vergangenheit lernen.;;Siempre podemos aprender de los que nos precedieron.;;;;;;;;;x
EVTDESC_TOG_7051;An intriguing woman by the name of [ancestors_wise_woman.GetFirstName] recently joined my court. I could tell from the first moment that she was learned, and since then she has kept impressing me with her knowledge and sound reasoning. Her counsel is always welcome, no matter how harsh it might be. I know she is rarely mistaken.;Une femme fascinante du nom de [ancestors_wise_woman.GetFirstName] a récemment rejoint ma Cour. J'ai pu dire dès le début qu'elle était cultivée, et depuis elle n'a cessé de m'impressionner avec son savoir et son bon sens. Ses conseils sont toujours les bienvenus, même s'ils sont durs. Je sais qu'elle se trompe rarement.;Eine interessante Dame namens [ancestors_wise_woman.GetFirstName] ist kürzlich an meinem Hof erschienen. Ich erkannte gleich, dass sie gebildet war und sie beeindruckte mich unaufhörlich mit Ihren Kenntnissen und ihren trefflichen Argumenten. Ihr Rat ist mir jederzeit willkommen, ganz gleich, wie sehr er von meiner eigenen Meinung abweicht. Ich weiß, dass sie selten falsch liegt.;;Una mujer intrigante llamada [ancestors_wise_woman.GetFirstName] se unió recientemente a mi corte. Desde el primer momento supe que era culta y desde entonces me ha impresionado con sus conocimientos y razonamientos lógicos. Su consejo es siempre bienvenido, no importa lo duro que sea. Sé que raramente se equivoca.;;;;;;;;;x
EVTOPTA_TOG_7051;I believe the Ancestors sent her my way.;Je crois que les Ancêtres me l'ont envoyé.;Ich glaube, die Ahnen haben sie zu mir geschickt.;;Creo que los Antepasados me la enviaron.;;;;;;;;;x
EVTDESC_TOG_7052;I know that my Ancestors always valued a wise and sharp mind, so I have decided to spend more time on my studies. Today I was out walking, contemplating the mysteries of [Root.Religion.GetHighGodName], when a new insight struck me. ;Je sais que mes Ancêtres ont toujours valorisé un esprit sage et vif, donc j'ai décidé de passer plus de temps à étudier. Aujourd'hui, alors que je marchais en songeant aux mystères laissés par [Root.Religion.GetHighGodName], une nouvelle idée m'est apparue.;Ich weiß, dass meine Ahnen einem weisen und gescheiten Geist großen Respekt zollen, und werde deshalb mehr Zeit für meine Studien aufbringen. Heute, auf einem Spaziergang, als ich die Geheimnisse von [Root.Religion.GetHighGodName] durchdachte, hatte ich eine plötzliche Einsicht.;;Creo que mis Antepasados siempre valoraron las mentes sabias y agudas, así que he decidido pasar más tiempo con mis estudios. Hoy estaba caminando, contemplando los misterios de [Root.Religion.GetHighGodName] cuando me llegó una nueva comprensión.;;;;;;;;;x
EVTOPTA_TOG_7052;How could I never have thought of that before!;Comment ai-je pu ne pas y avoir pensé plus tôt ?;Warum habe ich vorher niemals daran gedacht!;;¡¿Cómo no había caído antes en ello?!;;;;;;;;;x
EVTDESC_TOG_7053;During the last few weeks, I have been studying the tales of my Ancestors with the aid of one of the elders. She keeps questioning me about the metaphors and underlying themes of these stories, but my answers never seem to impress her. ;Durant ces dernières semaines, j'ai étudié l'histoire de mes ancêtres avec l'une des aînées. Elle continue de m'interroger sur les métaphores et les thèmes sous-jacents de ces récits, mais mes réponses ne semblent jamais l'impressionner.;In den letzten Wochen habe ich mit der Hilfe einer der Ältesten die Geschichten meiner Ahnen studiert. Sie fragt mich ständig nach den Metaphern und den Gedanken, die den Geschichten zugrunde liegen, aber meine Antworten scheinen sie nie zu überzeugen. ;;Durante las últimas semanas he estado estudiando las historias de mis Antepasados con la ayuda de uno de los ancianos. No hace más que preguntarme sobre las metáforas y los temas subyacentes en estas historias, pero parece que no le impresionan mis respuestas.;;;;;;;;;x
EVTOPTA_TOG_7053;I don't think I have a mind for this...;Je ne pense pas avoir l'esprit fait pour cela...;Ich glaube nicht, dass mein Verstand dafür geeignet ist ...;;Creo que no tengo cabeza para esto...;;;;;;;;;x
EVTDESC_TOG_7054;I enter my study only to find a stunning owl perched on my window sill. It observes me with its piercingly yellow eyes for a few moments, and then taps the window with its beak. Did the Ancestors send it my way?;Alors que j'entre dans mon bureau, j'aperçois un magnifique hibou perché sur le rebord de ma fenêtre. Il m'observe avec ses yeux jaunes perçants depuis quelques instants, et tapote la fenêtre avec son bec. Seraient-ce les Ancêtres qui me l'envoient ?;Als ich in mein Studierzimmer komme, finde ich dort auf dem Fenstersims eine Eule vor. Aus stechend gelben Augen beobachtet sie mich einige Augenblicke und klopft dann mit ihrem Schnabel an das Fenster. Haben die Ahnen sie zu mir geschickt?;;Entro en mi estudio para descubrir un búho impresionante posado en el alfeizar de mi ventana. Me observa con esos ojos amarillos penetrantes unos momentos y a continuación golpea la ventana con su pico. ¿Me lo habrán enviado los Antepasados?;;;;;;;;;x
EVTOPTA_TOG_7054;Who's a pretty bird?;Quel bel oiseau !;Na, wer ist der hübsche Vogel?;;¿Quién es un pajarito bonito?;;;;;;;;;x
EVTOPTB_TOG_7054;Shoo, you pesky creature! Leave me be!;Chut, sale bête ! Va-t'en !;Husch, husch, du grässliche Kreatur! Lass mich in Ruhe!;;¡Largo, pajarraco molesto! ¡Déjame en paz!;;;;;;;;;x
