#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zurzeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x
CAN_ONLY_JOIN_X_FACTIONS;§ROnly allowed to join §Y$NUM$§! Factions!§!;§RVous ne pouvez rejoindre que §Y$NUM$§! Factions !§!;Ihr dürft nur §Y$NUM$§! Fraktionen beitreten!;;¡Solo puedes unirte a §Y$NUM$§! Facciones!;;;;;;;;;x
EVTOPTA_RoI_1951;Let's hope no one gets killed.;Espérons que personne ne soit tué.;Hoffentlich wird niemand getötet!;;Esperemos que no muera nadie.;;;;;;;;;x
EVTOPTB_RoI_1951;I hope we'll see some blood!;Pourvu qu'il y ait du sang !;Hoffentlich sehen wir Blut!;;¡Espero que veamos algo de sangre!;;;;;;;;;x
#EVTDESC_RoI_1080;The duel is over. [From.GetFullName] lost but he suffered only minor wounds.;;Das Duell ist vorbei. [From.GetFullName] hat verloren und erlitt nur leichte Wunden.;;El duelo ha terminado. [From.GetFullName] perdió pero sólo ha sufrido heridas menores.;;;;;;;;;x
EVTOPTA_RoI_1080;All is well.;Tout est bien qui finit bien.;Alles ist gut!;;Todo está bien.;;;;;;;;;x
EVTOPTB_RoI_1080;He gave in too easily!;Il a abandonné trop vite !;Er gab zu schnell auf!;;¡Se rindió muy fácilmente!;;;;;;;;;x
#EVTDESC_RoI_1081;The duel is over. [From.GetFullName] lost and lies wounded on the ground.;;Das Duell ist vorbei. [From.GetFullName] hat verloren und liegt verwundet am Boden.;;El duelo ha terminado. [From.GetFullName] perdió y yace herido en el suelo.;;;;;;;;;x
EVTOPTA_RoI_1081;He fought well.;Il s'est bien battu.;Er hat gut gekämpft.;;Luchó bien.;;;;;;;;;x
#EVTDESC_RoI_1082;The duel is over. [From.GetFullName] lost and was horribly maimed.;;Das Duell ist vorbei. [From.GetFullName] hat verloren und ist schrecklich verstümmelt.;;El duelo ha terminado. [From.GetFullName] perdió y está terriblemente mutilado.;;;;;;;;;x
#EVTDESC_RoI_1083;The duel is over. [From.GetFullName] was killed!;;Das Duell ist vorbei. [From.GetFullName] wurde getötet!;;El duelo ha terminado. ¡[From.GetFullName] ha muerto!;;;;;;;;;x
EVTDESC_RoI_1100;[From.GetTitled.FirstName] feints right, then goes left and catches you with a diagonal upwards swing of his sword, sending you staggering backwards into the wall. Bleeding, you fall to the floor. You have lost the duel.;[From.GetTitled.FirstName] feinte à droite puis se déporte sur la gauche et vous inflige un coup en diagonale de son épée qui vous projette, titubant[Root.GetNoneE], contre le mur. Vous tombez au sol en saignant. Vous avez perdu le duel.;[From.GetTitled.FirstName] täuscht rechts an, schlägt aber plötzlich links zu und erwischt Euch mit seinem Schwert, das er diagonal nach oben gerichtet schwingt. Ihr taumelt rückwärts und fallt blutend zu Boden. Ihr habt das Duell verloren.;;[From.GetTitled.FirstName] amaga a la derecha, va a la izquierda y te pilla con un tajo diagonal hacia arriba, enviándote tambaleante contra la pared. Sangrando, caes al suelo. Has perdido el duelo.;;;;;;;;;x
EVTOPTA_RoI_1100;Luckily, I am only slightly injured.;Heureusement, ce n'est qu'une blessure légère.;Zum Glück wurde ich nur leicht verletzt.;;Por suerte, solo es un rasguño.;;;;;;;;;x
EVTOPTB_RoI_1100;I have been wounded!;Je suis blessé[Root.GetNoneE] !;Ich wurde verwundet!;;¡Me ha herido!;;;;;;;;;x
EVTOPTC_RoI_1100;I have been maimed!;Je suis mutilé[Root.GetNoneE] !;Ich wurde verstümmelt!;;¡Me ha mutilado!;;;;;;;;;x
EVTOPTD_RoI_1100;I feel I may be mortally wounded...;Je sens que je suis mortellement blessé[Root.GetNoneE]...;Ich merke, dass ich tödlich verwundet wurde...;;Siento que puede ser una herida mortal...;;;;;;;;;x
EVTDESC_RoI_1101;You slash at [From.GetTitled.FirstName], but you miss and leave an opening. He exploits this, grabbing you by the collar and pulling you towards him while stabbing upwards with his dagger. The dagger hits its mark and you fall to the floor, bleeding. You have lost the duel.;Vous attaquez [From.GetTitled.FirstName] mais ratez votre coup, ce qui laisse une ouverture à votre adversaire. Il saisit l'occasion : il vous saisit par le col et vous attire vers lui tout en cherchant à vous toucher avec sa dague. La dague atteint son but et vous tombez au sol, ensanglanté. Vous avez perdu le duel.;Ihr schlagt nach [From.GetTitled.FirstName], verfehlt aber und lasst Eure Deckung offen. Er nutzt dies aus, packt Euch am Kragen und sticht mit seinem Dolch aufwärts. Die Klinge trifft ihr Ziel und Ihr fallt blutend zu Boden. Ihr habt das Duell verloren.;;Lanzas un tajo a [From.GetTitled.FirstName], pero fallas abriendo tu guardia. Saca partido, agarrándote del cuello y tirando de ti hacia él mientras clava su daga hacia arriba. La daga alcanza su objetivo y caes al suelo, sangrando. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1102;You lunge at [From.GetTitled.FirstName], but he dodges and then kicks you in the side, unbalancing you. He takes a quick step forward and then thrusts his spear at your chest. He strikes true and you fall to the floor, bleeding. You have lost the duel.;Vous vous ruez sur [From.GetTitled.FirstName] mais il esquive votre attaque et vous donne un coup de pied dans les côtes, ce qui vous déséquilibre. Il avance vivement vers vous et plonge sa lance dans votre poitrine. Son coup est sûr et vous tombez au sol, ensanglanté. Vous avez perdu le duel.;Ihr holt aus und stecht zu, doch [From.GetTitled.FirstName] weicht aus und tritt Euch in die Seite. Ihr stolpert und Euer Gegner stößt Euch den Speer in die Brust. Blutend fallt Ihr zu Boden. Ihr habt das Duell verloren.;;Arremetes contra [From.GetTitled.FirstName], pero te esquiva y propina un golpe con la pierna en el costado, desequilibrándote. Da un rápido paso adelante y clava su lanza en tu pecho. Impacta de lleno y caes al suelo, sangrando. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1103;Your opponent backs away, getting closer to the crowd. Then suddenly, he grabs a woman from among the spectators and throws her into you. As you both go down in a tangle on the floor, he strikes with his weapon, and you feel a sharp pain as the woman screams along with you. You have lost the duel.;Votre adversaire recule et se rapproche de la foule. Soudain, il saisit une femme parmi les spectateurs et la lance sur vous. Alors que vous vous affalez tous les deux au sol, il frappe avec son arme et vous sentez une intense douleur. La femme hurle en même temps que vous. Vous avez perdu le duel.;Euer Gegner zieht sich zurück und kommt der Menge näher. Plötzlich schnappt er sich eine Frau aus den Zuschauern und stößt sie auf Euch zu. Während ihr beide verheddert zu Boden fallt, schlägt er mit seiner Waffe zu und Ihr fühlt einen scharfen Schmerz. Ihr habt das Duell verloren.;;Tu oponente recula, acercándose a la muchedumbre. De repente, agarra a una mujer de entre el público y la lanza hacia ti. Mientras caéis enredados al suelo, te golpea con su arma, sientes un dolor agudo mientras la mujer grita a la vez que tú. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1104;You move quickly against [From.GetTitled.FirstName], striking the weapon from his hand. You press him back towards a serving table. Desperately, he grabs a bunch of fruit and throws it before your feet. You slip in the fruit, falling over! [From.GetTitled.FirstName] gets a large leg of mutton from the same table and starts pounding you relentlessly. There is pain, so much pain. You have lost the duel.;Vous tentez une vive attaque contre [From.GetTitled.FirstName] qui lui fait lâcher son arme. Vous le poussez contre une table sur laquelle des plats se trouvent disposés. Dans un geste désespéré, il se saisit d'une coupe contenant des fruits et la jette à vos pieds. Vous glissez sur les fruits, et vous voilà à terre ! [From.GetTitled.FirstName] se saisit d'un imposant gigot de mouton qui traînait sur la table et commence à vous marteler avec cette pauvre bête. Vous avez mal, vraiment mal. Vous avez perdu le duel.;Ihr geht schnell gegen [From.GetTitled.FirstName] vor und schlagt ihm die Waffe aus der Hand. Ihr drückt ihn gegen einen großen Speisetisch. Verzweifelt greift er nach einigen Früchten und wirft sie vor Eure Füße. Ihr rutscht aus und fallt. [From.GetTitled.FirstName] schnappt sich ein großes Hammelbein vom gleichen Tisch und schlägt wild auf Euch ein. Schmerz, so viel Schmerz! Ihr habt das Duell verloren.;;Te mueves con ligereza contra [From.GetTitled.FirstName], desarmándolo de un golpe. Lo persigues hasta una mesa de servicio. Desesperado, coge un puñado de fruta y la tira a tus pies. ¡Resbalas con la fruta, cayendo al suelo! [From.GetTitled.FirstName] agarra una gran pierna de carnero de la misma mesa y comienza a golpearte implacablemente. Duele, duele mucho. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1105;The duel is hard-fought, neither combatant gaining the advantage. Then suddenly, [From.GetTitled.FirstName] stares wildly into the crowd behind you, shouting ;Le duel fait rage et aucun des deux adversaire ne semble prendre le dessus. Soudain, [From.GetTitled.FirstName] regarde la foule derrière vous, les yeux écarquillés, et hurle «Aidez-la, elle s'étouffe !» Alors que vous vous retournez, [From.GetTitled.FirstName] vous frappe dans le dos d'un geste vif. Vous tombez au sol en l'insultant, couvert de sang. Vous avez perdu le duel.;Das Duell ist im Gange, kein Kämpfer kann einen Vorteil erreichen. Plötzlich starrt [From.GetTitled.FirstName] erschrocken in die Menge hinter Euch und ruft "Helft ihr, sie erstickt!". Als Ihr Euch umdreht, bewegt [From.GetTitled.FirstName] sich schnell auf Euch zu und sticht Euch in den Rücken. Unter Flüchen fallt Ihr blutend zu Boden. Ihr habt das Duell verloren.;;"Es un duelo muy reñido, ningún contendiente obtiene la ventaja. De repente, [From.GetTitled.FirstName] mira desencajado a la muchedumbre tras de ti, gritando ""¡Ayudadla, se está ahogando!"" Te giras a mirar, y [From.GetTitled.FirstName] se mueve presto y te apuñala en la espalda. Lo maldices mientras caes, sangrando por la herida. Has perdido el duelo.";;;;;;;;;;;x
EVTDESC_RoI_1106;You are pressing [From.GetTitled.FirstName] hard, raining down strikes on him. As he retreats, he trips on his feet and falls to the floor, hitting his head and passing out. You turn to receive the cheers of the spectators, smiling. Just seconds later you feel a sharp pain. As you fall, you realize that [From.GetTitled.FirstName] was faking injury to stab you in the back. You have lost the duel.;Vous faites pleuvoir les attaques sur [From.GetTitled.FirstName] pour le maintenir sous pression. Alors qu'il recule, il trébuche et s'étale au sol. Sa tête heurte quelque chose et il s'évanouit. Les spectateurs vous acclament en chœur et vous les regardez en souriant. Quelques secondes plus tard, vous ressentez une intense douleur. En tombant, vous comprenez que [From.GetTitled.FirstName] simulait et il en a profité pour vous frapper dans le dos. Vous avez perdu le duel.;Ihr setzt [From.GetTitled.FirstName] schwer unter Druck, Schlag um Schlag. Als er sich zurückzieht, stolpert er über seine Füße und fällt zu Boden, stößt sich den Kopf und wird ohnmächtig. Ihr wendet Euch ab, um den Beifall des Publikums entgegenzunehmen. Einen Moment später fühlt Ihr einen scharfen Schmerz. Im Fallen bemerkt Ihr, dass [From.GetTitled.FirstName] die Verletzung nur vorgetäuscht hat, um Euch in den Rücken zu fallen. Ihr habt das Duell verloren.;;Presionas duramente a [From.GetTitled.FirstName], con una incesante lluvia de golpes. Mientras retrocede, tropieza y cae al suelo, golpeándose la cabeza y perdiendo el conocimiento. Te vuelves para recibir los vítores del público, sonriendo. Segundos más tarde sientes un dolor agudo. Mientras caes, te das cuenta que [From.GetTitled.FirstName] fingía para poder apuñalarte por la espalda. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1107;Both combatants circle around, trying to find an opening. You notice [From.GetTitled.FirstName] backing towards the guards by the door. Suddenly, he reaches out and snatches a bow from one of them. One second later, he has snatched an arrow and nocked it. As he lets fly, the arrow hits you and you go down. You have lost the duel.;Les deux combattants se tournent autour et tentent de trouver une faille. Vous remarquez que [From.GetTitled.FirstName] recule en direction des gardes près de la porte. Soudain, d'un geste vif, il se saisit d'un arc que portait l'un des gardes. En une seconde, le voilà avec une flèche prête à tirer. La flèche vole. Vous tombez. Vous avez perdu le duel.;Beide Kämpfer umkreisen sich, suchen nach einer Öffnung in der Deckung des anderen. Ihr bemerkt, dass [From.GetTitled.FirstName] sich langsam in Richtung der Wachen zurückzieht. Plötzlich greift er zu und packt einen ihrer Bögen. Eine Sekunde später hat er einen Pfeil aufgelegt. Der Pfeil trifft Euch und Ihr fallt blutend zu Boden. Ihr habt das Duell verloren.;;Ambos contendientes giráis en círculos, tratando de encontrar un hueco. Te das cuenta de que [From.GetTitled.FirstName] retrocede hacia los guardas de la puerta. De repente, arranca un arco de uno de ellos. Un segundo más tarde le arrebata una flecha y la carga. Tras un breve vuelo, la flecha te impacta y caes. Has perdido el duelo.;;;;;;;;;x
EVTDESC_RoI_1110;Feinting right, then going left and catching [From.GetTitled.FirstName] with a diagonal upwards swing of your sword, you send him staggering backwards into the wall. Bleeding, he falls to the floor. You have won the duel.;Une feinte à droite, un pas à gauche, votre épée remonte en diagonale et trouve [From.GetTitled.FirstName] sur sa trajectoire. Il recule contre le mur en titubant. Il s'affale au sol en saignant. Vous avez gagné le duel.;Indem Ihr rechts antäuscht und links zuschlagt, erwischt Ihr [From.GetTitled.FirstName] mit einem diagonalen Schwung Eures Schwertes. Gegend eine Wand taumelnd, fällt er schließlich blutend zu Boden. Ihr habt das Duell gewonnen.;;Amagando a la derecha y luego a la izquierda, das a [From.GetTitled.FirstName] un tajo diagonal hacia arriba, enviándolo tambaleante contra la pared. Sangrando, cae al suelo. Has ganado el duelo.;;;;;;;;;x
EVTOPTA_RoI_1110;[From.GetTitled.FirstName] is only slightly injured.;[From.GetTitled.FirstName] n'est que légèrement blessé.;[From.GetTitled.FirstName] ist nur leicht verwundet.;;[From.GetTitled.FirstName] tiene solo un rasguño.;;;;;;;;;x
EVTOPTB_RoI_1110;[From.GetTitled.FirstName] lies wounded.;[From.GetTitled.FirstName] reste au sol, blessé.;[From.GetTitled.FirstName] ist verwundet.;;[From.GetTitled.FirstName] yace herido.;;;;;;;;;x
EVTOPTC_RoI_1110;[From.GetTitled.FirstName] lies maimed.;[From.GetTitled.FirstName] reste au sol, mutilé.;[From.GetTitled.FirstName] ist verstümmelt.;;[From.GetTitled.FirstName] yace mutilado.;;;;;;;;;x
EVTOPTD_RoI_1110;I killed [From.GetTitled.FirstName].;J'ai tué [From.GetTitled.FirstName].;Ich habe [From.GetTitled.FirstName] getötet!;;He matado a [From.GetTitled.FirstName].;;;;;;;;;x
EVTDESC_RoI_1111;[From.GetTitled.FirstName] slashes at you, but as he misses you see an opening and grab him by the collar, pulling him towards you while stabbing upwards with your dagger. You hit your mark and he falls to the floor, bleeding. You have won the duel.;[From.GetTitled.FirstName] vous attaque mais manque son coup. Vous voyez une ouverture, le saisissez par le col et l'attirez vers vous en tentant de l'atteindre avec votre dague. La dague atteint son but et il tombe au sol, ensanglanté. Vous avez gagné le duel.;[From.GetTitled.FirstName] schlägt nach Euch und verfehlt. Ihr entdeckt eine Öffnung in seiner Deckung, schnappt ihn am Kragen und rammt ihm Euren Dolch in die Brust. Blutend fällt er zu Boden. Ihr habt das Duell gewonnen.;;[From.GetTitled.FirstName] lanza un golpe, pero al fallar ves un hueco y le agarras del cuello, tirando de él hacia ti clavas tu daga hacia arriba. Alcanzas tu objetivo y cae al suelo, sangrando. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1112;You swiftly dodge a lunge from [From.GetTitled.FirstName], then kick him in the side to unbalance him. A quick step forward, and you then thrust your spear at his chest. You strike true and he falls to the floor, bleeding. You have won the duel.;Vous esquivez habilement une attaque de [From.GetTitled.FirstName] et, d'un coup de pied dans les côtes, vous le déséquilibrez. Vous faites un pas et plantez votre lance dans sa poitrine. Votre coup porte et votre adversaire tombe au sol, ensanglanté. Vous avez gagné le duel.;Flink weicht Ihr einen Hieb von [From.GetTitled.FirstName] aus und tretet ihm in die Seite. Mit einem schnellen Vorwärtsschritt rammt Ihr Euren Speer in seine Brust. Ihr trefft und er fällt blutend zu Boden. Ihr habt das Duell gewonnen.;;Esquivas la acometida de [From.GetTitled.FirstName], propinándole una patada en el costado que lo desequilibra. Das un rápido paso adelante y clavas tu lanza en su pecho. Impactas de lleno y él cae al suelo, sangrando. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1113;You back away, getting close to the crowd. Then suddenly, you grab a woman from among the spectators and throw her into [From.GetTitled.FirstName]. As they both go down in a tangle on the floor, you strike several times with your weapon, and both of them scream. You have won the duel.;Vous reculez, ce qui vous rapproche de la foule. Soudain, vous saisissez une femme parmi les spectateurs et la lancez sur [From.GetTitled.FirstName]. Alors qu'ils s'affalent tous les deux au sol, vous frappez plusieurs fois avec votre arme et vous entendez deux hurlements. Vous avez gagné le duel.;Ihr weicht zurück und kommt der Menge näher. Plötzlich greift Ihr nach einer Frau aus den Zuschauern und stoßt sie in [From.GetTitled.FirstName]. Als die beiden verheddert zu Boden gehen, stoßt Ihr mehrfach mit Eurer Waffe zu. Beide schreien vor Schmerzen. Ihr habt das Duell gewonnen.;;Reculas, acercándote a la muchedumbre. De repente, agarras a una mujer de entre el público y la lanzas hacia [From.GetTitled.FirstName]. Mientras caen enredados al suelo, golpeas varias veces con tu arma, ambos gritan. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1114;backwards towards a serving table.  Desperately, you grab a bunch of fruit and throw it before his feet. He slips in the fruit, falling over! You get a large leg of mutton from the same table and start pounding your prone opponent relentlessly. Eventually he goes quiet and limp. You have won the duel.;Vous reculez vers une table sur laquelle des plats se trouvent disposés.  Dans un geste désespéré, vous vous emparez d'une coupe contenant des fruits et la jetez à ses pieds. Il glisse sur les fruits, et le voilà à terre ! Vous vous saisissez d'un imposant gigot de mouton qui traînait sur la table et commencez à le marteler avec la pauvre bête. Au bout d'un moment, votre adversaire cesse de se débattre. Vous avez gagné le duel.;Euer Gegner treibt Euch rückwärts gegen einen Speisetisch. Verzweifelt greift Ihr einige Früchte und werft sie ihm zwischen die Füße. Er rutscht aus und fällt. Ihr schnappt Euch ein großes Hammelbein und schlagt auf Euren hilflosen Gegner ein. Schließlich bleibt er still liegen. Ihr habt das Duell gewonnen.;;Retrocede hacia la mesa de servicio. Desesperado, coges un puñado de fruta y la tiras a sus pies. ¡Resbala con la fruta, cayendo al suelo! Agarra una gran pierna de carnero de la misma mesa y comienzas a golpear a tu derribado oponente implacablemente, hasta que abandona cojeando. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1115;You seem unable to gain the upper hand on [From.GetTitled.FirstName], and you feel you need an advantage. You glance at the spectators, then suddenly stare wildly behind [From.GetTitled.FirstName], shouting: ;Vous ne semblez pas en mesure de prendre l'ascendant sur [From.GetTitled.FirstName] et vous cherchez comment vous départager. Vous jetez un œil à la foule de spectateurs puis, écarquillant les yeux, vous regardez derrière [From.GetTitled.FirstName] en hurlant : «Aidez-la ! Elle s'étouffe !» Votre adversaire se tourne pour regarder et vous le frappez dans le dos. Il s'abat au sol, en sang. Vous avez gagné le duel.;Ihr könnt im Kampf nicht die Oberhand gewinnen und braucht einen Vorteil gegenüber [From.GetTitled.FirstName]. Ihr starrt in die Menge hinter Eurem Gegner und ruft laut: "Helft ihr, sie erstickt!". Als er sich umdreht, holt Ihr aus und stecht in seinen Rücken. Blutend geht er zu Boden. Ihr habt das Duell gewonnen.;;"Pareces incapaz de imponerte a [From.GetTitled.FirstName], sientes que necesitas algún tipo de ventaja. Echas una mirada a los espectadores, de repente clavas la mirada tras [From.GetTitled.FirstName], gritando: ""¡Ayudadla, se está ahogando!"" Mientras se gira a mirar, te abalanzas y le golpeas por la espalda. Cae, sangrando por su herida. Has ganado el duelo.";;;;;;;;;;;x
EVTDESC_RoI_1116;[From.GetTitled.FirstName] is pressing you hard, raining strikes down on you. Scrambling to retreat, you trip on your feet and fall to the ground, hitting your head. Immediately, you shut your eyes, trying to save yourself by playing unconscious. [From.GetTitled.FirstName] falls for it, turning to receive the spectators' applause. You quietly rise and stab him in the back. You have won the duel.;[From.GetTitled.FirstName] maintient la pression sur vous, les coups pleuvent. Tentant de reculer, vous trébuchez et tombez au sol. Votre tête frappe quelque chose. Immédiatement, vous fermez les yeux, tentant de sauver la mise en feignant l'inconscience. [From.GetTitled.FirstName] tombe dans votre piège. Il se retourne pour recevoir les applaudissements de la foule. Vous vous redressez rapidement et plantez votre arme dans son dos. Vous avez gagné le duel.;[From.GetTitled.FirstName] geht Euch hart an, Schlag um Schlag geht auf euch nieder. Als Ihr Euch zurückzieht, stolpert Ihr über Eure Füße und fallt zu Boden. Sofort schließt Ihr die Augen und versucht Euch zu retten, indem Ihr Bewusstlosigkeit vortäuscht. [From.GetTitled.FirstName] fällt darauf herein und dreht sich weg, um den Beifall der Menge anzunehmen. Leise steht Ihr auf und stecht ihn von hinten nieder. Ihr habt das Duell gewonnen.;;[From.GetTitled.FirstName] te gana la iniciativa con una continua lluvia de golpes. Intentando retroceder, tropiezas y caes al suelo, golpeándote la cabeza. Inmediatamente, cierras los ojos, intentando salvarte fingiendo estar inconsciente. [From.GetTitled.FirstName] pica, girándose a recibir los aplausos de los espectadores. Te levantas sigilosamente y lo apuñalas por la espalda. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1117;Both combatants circle around, trying to find an opening. You suddenly have an idea. Edging towards the guards by the door, you reach out and snatch a bow from one of them. One second later, you have snatched an arrow and nocked it. You let fly at the surprised [From.GetTitled.FirstName]. The arrow hits and he goes down. You have won the duel.;Les deux combattants se tournent autour et tentent de trouver une faille. Soudain, une idée. Alors que vous vous trouvez près des gardes en faction devant la porte, vous vous saisissez de l'arc que porte l'un d'eux. En une seconde, vous voilà avec une flèche, prêt à tirer. Votre tir vole vers [From.GetTitled.FirstName], tout surpris. La flèche touche sa cible qui tombe au sol. Vous avez gagné le duel.;Beide Kämpfer umkreisen sich und suchen nach Schwachstellen. Plötzlich habt Ihr eine Idee. Ihr drängt zu den Wachen am Tor und schnappt Euch einen ihrer Bögen. Eine Sekunde später habt Ihr einen Pfeil aufgelegt und zielt auf den verblüfften [From.GetTitled.FirstName]. Der Pfeil trifft und er fällt auf den Boden. Ihr habt das Duell gewonnen.;;Ambos contendientes giráis en círculos, tratando de encontrar un hueco. De repente tienes una idea. Te vas esquivando hacia los guardas de la puerta, al llegar le arrebatas el arco a uno de ellos. Un segundo mas tarde le has arrebatado una flecha y la cargas. Dejas volar la flecha hacia el sorprendido [From.GetTitled.FirstName]. La flecha alcanza su objetivo y cae. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1140;During the feast, you are entertained by dancers. One of the female dancers especially catches your attention. She moves with near divine grace and allure, and you feel strangely attracted to her. You come to think of the mysterious and beautiful Apsara of legend, shapechanging dancers descending from the heavens.;Pendant le festin se déroule un spectacle de danse. Une des danseuses en particulier attire votre attention. Elle se meut avec une grâce quasiment divine et vous vous sentez étrangement attiré par elle. Vous repensez aux belles et mystérieuses Apsara de la légende, ces danseuses polymorphes venues du ciel.;Während des Festes werdet Ihr von Tänzern unterhalten. Eine der Tänzerinnen fesselt Euch besonders: Sie bewegt sich mit geradezu himmlischer Anmut und Grazie und Ihr fühlt Euch zu ihr hingezogen. Ihr müsst an die Apsara der Legenden denken, gestaltwandelnde Tänzerinnen aus den Himmeln.;;Durante el banquete, te entretiene un grupo de danza. Una de las bailarinas llama especialmente tu atención. Se mueve con una gracia y encanto casi divinos, y te sientes extrañamente atraído por ella. Te hace pensar en una de las Apsará de las leyendas, bailarinas que cambian de forma, venidas de los cielos.;;;;;;;;;x
EVTOPTA_RoI_1140;Call her over after the dance.;L'appeler après la danse.;Ruft sie nach dem Tanze zu Euch.;;Llámala tras el baile.;;;;;;;;;x
EVTOPTB_RoI_1140;Leave it be.;La laisser en paix.;Lasst es bleiben.;;Déjalo estar.;;;;;;;;;x
EVTDESC_RoI_1141;You call the dancer over after the dance has finished, and she comes and sits down next to you. You talk of the body, pleasure and beauty. She sits very close to you, speaking with a soft and seductive voice. You begin to feel strangely warm and light-headed. It feels good.;La danse finie, vous faites signe à la danseuse de s'approcher. Elle acquiesce et s'assoit à côté de vous. Vous parlez de corps, de plaisirs et de beauté. Elle se tient très près de vous et vous parle d'une voix douce et séduisante. Vous sentez une vague de chaleur en vous et votre esprit devient léger. Je me sens bien.;Nach dem Ende des Tanzes ruft ihr die Tänzerin zu Euch. Sie kommt und setzt sich. Ihr sprecht über den Körper, Vergnügen und Schönheit. Sie spricht mit einer weichen, verführerischen Stimme. Ihr fühlt Euch seltsam warm und leicht. Es fühlt sich gut an.;;Llamas a la bailarina una vez el baile ha finalizado, ella viene y se sienta junto a ti. Hablas del cuerpo, el placer y la belleza. Ella se sienta muy cerca de ti, hablando con una voz suave y seductora. Te sientes extrañamente tibio y mareado. Sienta bien.;;;;;;;;;x
EVTOPTA_RoI_1141;Let's go somewhere private...;Trouvons un endroit plus tranquille...;Wir sollten uns zurückziehen...;;Vamos a un lugar privado...;;;;;;;;;x
EVTOPTB_RoI_1141;Enchanted, but you should leave, my dear.;Votre compagnie m'enchante, ma chère, mais vous devriez partir.;Bezaubernd, aber Ihr solltet gehen, meine Liebe.;;Un placer, pero deberías marcharte, mi amor.;;;;;;;;;x
EVTDESC_RoI_1142;As you wake, your mind is filled with memories of a wonderful night of pleasure. You look around, but the dancer is gone without a trace. It was truly something extraordinary, and your mind wanders to old tales told by priests and storytellers - was she really a human woman, or could it be that you have met one of the beautiful Apsara of legend?;À votre réveil, votre esprit est empli du souvenir d'une nuit de plaisirs magnifiques. Vous constatez que la danseuse est partie sans laisser de traces. C'était vraiment un moment extraordinaire. Vous repensez aux vieilles histoires narrées par les prêtres et les conteurs... Était-elle humaine, ou était-ce une de ces belles Apsara dont parle la légende ?;Als Ihr erwacht, ist Euer Geist gefüllt mit Erinnerungen an die wundervolle Nacht der Lust. Ihr schaut Euch um, doch die Tänzerin ist spurlos verschwunden. Es war wirklich etwas Besonderes und Ihr grübelt über alte Geschichten, wie sie von Priestern und Märchenerzählern berichtet werden. War sie wirklich eine menschliche Frau oder habt Ihr eine der wunderbaren Apsara der Legende getroffen?;;Al despertar, tu mente está llena de recuerdos de una maravillosa noche de placer. Miras a tu alrededor, pero la bailarina no ha dejado rastro. Realmente fue algo extraordinario, y tu mente vuela hacia los antiguos relatos de sacerdotes y cuentacuentos - ¿era realmente humana, o puede que hayas encontrado una de las legendarias Apsarás?;;;;;;;;;x
EVTOPTA_RoI_1142;I have been touched by the divine.;C'était une rencontre avec le divin.;Ich wurde vom Göttlichen berührt.;;He sido tocado por la divinidad.;;;;;;;;;x
EVTOPTB_RoI_1142;I shall never know.;Je n'aurai jamais de vraie réponse.;Ich werde es niemals wissen.;;Jamás lo sabré.;;;;;;;;;x
EVTDESC_RoI_1143;At one point during the feast, a male singer performs. His voice is captivating and sensual, notes dancing across the room and tickling your skin with an almost physical touch. You are completely captivated by his charisma - he reminds you of the mysterious and beautiful Gandharvas of legend, singer spirits of the sky making music for the gods.;À un moment pendant le festin, un chanteur offre un spectacle. Les notes de son chant captivant et sensuel dansent dans la salle et effleurent votre peau. Vous êtes captivée par son charisme. Il vous rappelle un de ces magnifiques et mystérieux Gandharva de la légende, ces esprits venus des cieux qui chantent pour les dieux.;Während des Festes tritt ein männlicher Sänger auf. Seine Stimme ist einnehmend und sinnlich, sie tanzt geradezu durch den Raum und lässt Eure Haut prickeln, fast wie unter echten Berührungen. Ihr seid vollständig von seiner Ausstrahlung eingenommen - er erinnert Euch an die mysteriösen und wunderschönen Gandharvas der Legenden, Sängergeister aus dem Himmel, Musiker der Götter.;;En cierto momento durante el banquete, actúa un cantante. Su voz es cautivadora y sensual, las notas bailan por la sala y cosquillean tu piel con un toque casi físico. Estás completamente cautivada por su carisma - te recuerda a los misteriosos y hermosos Gandharvás de la leyenda, espíritus cantarines de los cielos que hacen música para los dioses.;;;;;;;;;x
EVTOPTA_RoI_1143;Call him over after the performance.;L'appeler après la représentation.;Ruft ihn nach dem Auftritt zu Euch.;;Llámalo tras la actuación.;;;;;;;;;x
