#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
FACTION_POWER_TRIGGER;Faction Strength is $COMPARISON$ $VALUE|Y$ of liege;La puissance de la faction est $COMPARISON$ $VALUE|Y$ de celle du seigneur lige;Fraktionsstärke ist $COMPARISON$ $VALUE|Y$ vom Lehnsherr;;Fuerza de facción es $COMPARISON$ $VALUE|Y$ del señor;;;;;;;;;x
FACTION_BACKERS_TRIGGER;$COMPARISON$ $VALUE|Y$ Backers in Faction '$FACTION|Y$';Nombre de soutiens de la faction '$FACTION|Y$' $COMPARISON$ $VALUE|Y$;$COMPARISON$ $VALUE|Y$ Unterstützer in der "$FACTION|Y$"-Fraktion;;$COMPARISON$ $VALUE|Y$ apoyos en la facción '$FACTION|Y$';;;;;;;;;x
EXTRA_LANDED_TITLES_TRIGGER;$COMPARISON$ $VALUE|Y$ extra landed titles;Nombre de titres fonciers supplémentaires $COMPARISON$ $VALUE|Y$;$COMPARISON$ $VALUE|Y$ zusätzliche Landtitel;;$COMPARISON$ $VALUE|Y$ títulos con tierras extra;;;;;;;;;x
AGE_COMPARISON_TRIGGER;Age is $COMPARISON$ $TARGET|Y$'s age;L'âge est $COMPARISON$ à celui de $TARGET|Y$;Alter ist $COMPARISON$ des Alters von $TARGET|Y$;;Edad es $COMPARISON$ de la $TARGET|Y$;;;;;;;;;x
WARSCORE_TRIGGER;Warscore is $COMPARISON$ $VALUE|Y$%;Le score de guerre est $COMPARISON$ $VALUE|Y%$;Kriegsstand ist $COMPARISON$ §Y$VALUE$%§!;;Marcador es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
NUM_BUILDINGS_TRIGGER;$COMPARISON$ $VALUE|Y$ buildings in $WHERE|Y$;Nombre de bâtiment $COMPARISON$ $VALUE|Y$ à $WHERE|Y$;$COMPARISON$ $VALUE|Y$ Gebäude in $WHERE|Y$;;$COMPARISON$ $VALUE|Y$ edificios en $WHERE|Y$;;;;;;;;;x
OVER_MAX_DEMESNE_SIZE_TRIGGER;Over max demesne size by $COMPARISON$ $VALUE|Y$;Dépassement de la taille de domaine maximale $COMPARISON$ $VALUE|Y$;Um $COMPARISON$ $VALUE|Y$ über dem Maximalen Domänenlimit;;Tamaño máximo de dominios por $COMPARISON$ $VALUE|Y$;;;;;;;;;x
OVER_MAX_VASSAL_SIZE_TRIGGER;Over max vassal size by $COMPARISON$ $VALUE|Y$;Dépassement du nombre de vassaux maximal $COMPARISON$ $VALUE|Y$;Um $COMPARISON$ $VALUE|Y$ über dem Maximalen Vasallenlimit;;Tamaño máximo de vasallos por $COMPARISON$ $VALUE|Y$;;;;;;;;;x
OPINION_TRIGGER;Opinion is $COMPARISON$ $VALUE|Y$;L'opinion est $COMPARISON$ $VALUE|Y$;Meinung ist $COMPARISON$ $VALUE|Y$;;Opinión es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
PERSONAL_OPINION_TRIGGER;Personal Opinion is $COMPARISON$ $VALUE|Y$;L'opinion personnelle est $COMPARISON$ $VALUE|Y$;Persönliche Meinung ist $COMPARISON$ $VALUE|Y$;;Opinión personal es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
CLAN_OPINION_TRIGGER;Clan Sentiment is $COMPARISON$ $VALUE|Y$;Le sentiment de clan est $COMPARISON$ $VALUE|Y$;Klanmeinung ist $COMPARISON$ $VALUE|Y$;;Sentimiento de clan es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
OPINION_DIFF_TRIGGER;Opinion difference between $FIRST|Y$ and $SECOND|Y$ is $COMPARISON$ $VALUE|Y$;La différence d'opinion entre $FIRST|Y$ et $SECOND|Y$ est $COMPARISON$ $VALUE|Y$;Meinungsunterschied zwischen $FIRST|Y$ und $SECOND|Y$ ist $COMPARISON$ $VALUE|Y$;;Diferencia de opinión entre $FIRST|Y$ y $SECOND|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
PERSONAL_OPINION_DIFF_TRIGGER;Personal Opinion difference between $FIRST|Y$ and $SECOND|Y$ is $COMPARISON$ $VALUE|Y$;La différence d'opinion personnelle entre $FIRST|Y$ et $SECOND|Y$ est $COMPARISON$ $VALUE|Y$;Persönlicher Meinungsunterschied zwischen $FIRST|Y$ und $SECOND|Y$ ist $COMPARISON$ $VALUE|Y$;;Diferencia de opinión personal entre $FIRST|Y$ y $SECOND|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
CLAN_OPINION_DIFF_TRIGGER;Clan Sentiment difference between $FIRST|Y$ and $SECOND|Y$ is $COMPARISON$ $VALUE|Y$;La différence de sentiment de clan entre $FIRST|Y$ et $SECOND|Y$ est $COMPARISON$ $VALUE|Y$;Klanmeinungsunterschied zwischen $FIRST|Y$ und $SECOND|Y$ ist $COMPARISON$ $VALUE|Y$;;Diferencia de sentimiento de clan entre $FIRST|Y$ y $SECOND|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
AGE_DIFF_TRIGGER;Age difference is $COMPARISON$ $VALUE|Y$;La différence d'âge est $COMPARISON$ $VALUE|Y$;Altersunterschied ist $COMPARISON$ $VALUE|Y$;;Diferencia edad es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_HOLDING_TRIGGER;Has $COMPARISON$ $VALUE|Y$ $TYPE$s in demesne;Nombre de $TYPE$ dans le domaine $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ $TYPE$ in der Domäne;;Tiene $COMPARISON$ $VALUE|Y$ $TYPE$s en dominios;;;;;;;;;x
NUM_REALM_HOLDING_TRIGGER;Has $COMPARISON$ $VALUE|Y$ $TYPE$s in realm;Nombre de $TYPE$ dans le pays $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ $TYPE$ im Reich;;Tiene $COMPARISON$ $VALUE|Y$ $TYPE$s in reino;;;;;;;;;x
NUM_HOLDING_DIFF_TRIGGER;Difference between $FIRST|Y$ and $SECOND|Y$'s $TYPE$s is $COMPARISON$ $VALUE|Y$;La différence entre le nombre de $TYPE$ de $FIRST|Y$ et de $SECOND|Y$est $COMPARISON$ $VALUE|Y$;Unterschied zwischen dem $TYPE$ von $FIRST|Y$ und $SECOND|Y$ ist $COMPARISON$ $VALUE|Y$;;Diferencia entre $FIRST|Y$ y $SECOND|Y$'s $TYPE$s es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
REPUBLIC_TRADE_POST_TRIGGER;Republic has $COMPARISON$ $VALUE|Y$ Trade Posts;Le nombre de comptoirs est $COMPARISON$ $VALUE|Y$ dans la République;Republik hat $COMPARISON$ $VALUE|Y$ Handelsposten;;República tiene $COMPARISON$ $VALUE|Y$ puesto comerciales;;;;;;;;;x
HOLDING_DIFF_TRIGGER;$COMPARISON|Y$ $VALUE|Y$§! §Y$FIRST_TYPE$s§! in $FIRST_LOCATION$ per §Y$SECOND_TYPE$s§! in $SECOND_LOCATION$;Nombre de §Y$FIRST_TYPE$s§! en $FIRST_LOCATION$ par §Y$SECOND_TYPE$s§! en $SECOND_LOCATION$ $COMPARISON|Y$ $VALUE|Y$;$COMPARISON|Y$ $VALUE|Y$§! §Y$FIRST_TYPE$s§! in $FIRST_LOCATION$ pro §Y$SECOND_TYPE$s§! in $SECOND_LOCATION$;;$COMPARISON|Y$ $VALUE|Y$§! §Y$FIRST_TYPE$s§! en $FIRST_LOCATION$ por §Y$SECOND_TYPE$s§! en $SECOND_LOCATION$;;;;;;;;;x
ATTRIBUTE_DIFF_TRIGGER;$ATTRIBUTE|Y$ difference between $FIRST|Y$ and $SECOND|Y$ is $COMPARISON$ $VALUE|Y$;La différence en $ATTRIBUTE|Y$ entre $FIRST|Y$ et $SECOND|Y$ est $COMPARISON$ $VALUE|Y$;$ATTRIBUTE|Y$-Unterschied zwischen $FIRST|Y$ und $SECOND|Y$ ist $COMPARISON$ $VALUE|Y$;;$ATTRIBUTE|Y$ diferencia entre $FIRST|Y$ y $SECOND|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
COMBAT_RATING_DIFF_TRIGGER;Combat rating difference between $FIRST|Y$ and $SECOND|Y$ is $COMPARISON$ $VALUE|Y$;Différence du taux de combat entre $FIRST|Y$ et $SECOND|Y$ est $COMPARISON$ $VALUE|Y$;Kampfkraftunterschied zwischen $FIRST|Y$ und $SECOND|Y$ ist $COMPARISON$ $VALUE|Y$;;Diferencia de puntuación de combate entre $FIRST|Y$ y $SECOND|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
REALM_LEVY_DIFF_TRIGGER;Max realm levy size difference between $FIRST|Y$ and $SECOND|Y$ is $COMPARISON$ $VALUE|Y$;La différence de taille de levée maximale entre $FIRST|Y$ et $SECOND|Y$ est $COMPARISON$ $VALUE|Y$;Unterschied der Maximalen Reichsaufgebotsgröße zwischen $FIRST|Y$ und $SECOND|Y$ ist $COMPARISON$ $VALUE|Y$;;Diferencia de levas máximas del reino entre $FIRST|Y$ y $SECOND|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
TROOP_RAISED_DAYS_TRIGGER;Troops raised $COMPARISON$ $VALUE|Y$ days;Nombre de jours de la levée de troupes $COMPARISON$ $VALUE|Y$;Truppen $COMPARISON$ $VALUE|Y$ Tage ausgehoben;;Tropas reclutadas $COMPARISON$ $VALUE|Y$ días;;;;;;;;;x
DAYS_SINCE_WAR_PARTICIPATION_TRIGGER;Time since last war participation is $COMPARISON$ $VALUE|Y$ days;Le nombre de jours depuis la dernière participation à une guerre est $COMPARISON$ $VALUE|Y$;Zeit seit der letzten Kriegsteilnahme ist $COMPARISON$ $VALUE|Y$ Tage;;Tiempo desde la última participación en guerra es $COMPARISON$ $VALUE|Y$ días;;;;;;;;;x
MODIFIER_INSTANCES_TRIGGER;Has $COMPARISON$ $VALUE|Y$ instances of $MODIFIER|Y$;Nombre de cas de '$MODIFIER|Y$' $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Arten des Modifikators $MODIFIER|Y$;;Tiene $COMPARISON$ $VALUE|Y$ casos de $MODIFIER|Y$;;;;;;;;;x
REVOLT_RISK_TRIGGER;Revolt risk is $COMPARISON$ $VALUE|Y$%;Risque de révolte $COMPARISON$ $VALUE|Y%$;Revoltenrisiko ist $COMPARISON$ §Y$VALUE$%§!;;Riesgo de revuelta es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
PURE_REVOLT_RISK_TRIGGER;Pure revolt risk is $COMPARISON$ $VALUE|Y$%;Risque de révolte de base $COMPARISON$ $VALUE|Y%$;Reines Revoltenrisiko ist $COMPARISON$ §Y$VALUE$%§!;;Riesgo puro de revuelta es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
MONTHLY_INCOME_TRIGGER;Monthly income is $COMPARISON$ $VALUE|Y$;Revenu mensuel $COMPARISON$ $VALUE|Y$;Monatliches Einkommen ist $COMPARISON$ $VALUE|Y$;;Ingresos mensuales es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
YEARLY_INCOME_TRIGGER;Yearly income is $COMPARISON$ $VALUE|Y$;Revenu annuel $COMPARISON$ $VALUE|Y$;Jährliches Einkommen ist $COMPARISON$ $VALUE|Y$;;Ingresos anuales es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
UNITS_INPROVINCE_TRIGGER;Units in $PROVINCE|Y$ is $COMPARISON$ $VALUE|Y$;Le nombre d'unités en $PROVINCE|Y$ est $COMPARISON$ $VALUE|Y$;$COMPARISON$ $VALUE|Y$ Einheiten in $PROVINCE|Y$;;Unidades en $PROVINCE|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
TECH_LEVEL_TRIGGER;$TECH|Y$ level is $COMPARISON$ $VALUE|Y$;Le niveau technologique $TECH|Y$ est $COMPARISON$ $VALUE|Y$;$TECH|Y$-Stufe ist $COMPARISON$ $VALUE|Y$;;$TECH|Y$ nivel es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
RULED_YEARS_TRIGGER;Has ruled for $COMPARISON$ $VALUE|Y$ years;Nombre d'années de règne $COMPARISON$ $VALUE|Y$;Hat für $COMPARISON$ $VALUE|Y$ Jahre regiert;;Ha gobernado $COMPARISON$ $VALUE|Y$ años;;;;;;;;;x
NUM_CHILDREN_TRIGGER;Has $COMPARISON$ $VALUE|Y$ children;Nombre d'enfants $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Kinder;;Tiene $COMPARISON$ $VALUE|Y$ hijos;;;;;;;;;x
PERSONALITY_TRAITS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ personality traits;Nombre de traits de caractère $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Persönlichkeitseigenschaften;;Tiene $COMPARISON$ $VALUE|Y$ rasgos de personalidad;;;;;;;;;x
CONGENITAL_TRAITS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ congenital traits;Nombre de traits congénitaux $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ angeborene Eigenschaften;;Tiene $COMPARISON$ $VALUE|Y$ rasgos congénitos;;;;;;;;;x
LIFESTYLE_TRAITS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ lifestyle traits;Nombre de traits de style de vie $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Lebensweise-Eigenschaften;;Tiene $COMPARISON$ $VALUE|Y$ rasgos de estilo de vida;;;;;;;;;x
LEADERSHIP_TRAITS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ leadership traits;Nombre de traits de commandement $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Anführer-Eigenschaften;;Tiene $COMPARISON$ $VALUE|Y$ rasgos de liderazgo;;;;;;;;;x
HEALTH_TRAITS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ health traits;Nombre de traits de santé $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Gesundheitseigenschaften;;Tiene $COMPARISON$ $VALUE|Y$ rasgos de salud;;;;;;;;;x
NUM_TRAITS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ traits;Nombre de traits $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Eigenschaften;;Tiene $COMPARISON$ $VALUE|Y$ rasgos;;;;;;;;;x
#MARTIAL_TRIGGER;Has martial $COMPARISON$ $VALUE|Y$;Compétence martiale $COMPARISON$ $VALUE|Y$;Kriegskunst ist $COMPARISON$ $VALUE|Y$;;Tiene marcial $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#DIPLOMACY_TRIGGER;Has diplomacy $COMPARISON$ $VALUE|Y$;Compétence diplomatique $COMPARISON$ $VALUE|Y$;Diplomatie ist $COMPARISON$ $VALUE|Y$;;Tiene diplomacia $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#INTRIGUE_TRIGGER;Has intrigue $COMPARISON$ $VALUE|Y$;Compétence en intrigue $COMPARISON$ $VALUE|Y$;Intrige ist $COMPARISON$ $VALUE|Y$;;Tiene intriga $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#LEARNING_TRIGGER;Has learning $COMPARISON$ $VALUE|Y$;Compétence en érudition $COMPARISON$ $VALUE|Y$;Bildung ist $COMPARISON$ $VALUE|Y$;;Tiene aprendizaje $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#STEWARDSHIP_TRIGGER;Has stewardship $COMPARISON$ $VALUE|Y$;Compétence en intendance $COMPARISON$ $VALUE|Y$;Verwaltung ist $COMPARISON$ $VALUE|Y$;;Tiene administración $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#REALM_MARTIAL_TRIGGER;Has realm martial $COMPARISON$ $VALUE|Y$;Compétence martiale d'État $COMPARISON$ $VALUE|Y$;Reichskriegskunst ist $COMPARISON$ $VALUE|Y$;;Tiene marcial del reino $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#REALM_DIPLOMACY_TRIGGER;Has realm diplomacy $COMPARISON$ $VALUE|Y$;Compétence diplomatique d'État $COMPARISON$ $VALUE|Y$;Reichsdiplomatie ist $COMPARISON$ $VALUE|Y$;;Tiene diplomacia del reino $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#REALM_INTRIGUE_TRIGGER;Has realm intrigue $COMPARISON$ $VALUE|Y$;Compétence d'État en intrigue $COMPARISON$ $VALUE|Y$;Reichsintrige ist $COMPARISON$ $VALUE|Y$;;Tiene intriga del reino $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#REALM_LEARNING_TRIGGER;Has realm learning $COMPARISON$ $VALUE|Y$;Compétence d'État en érudition $COMPARISON$ $VALUE|Y$;Reichsbildung ist $COMPARISON$ $VALUE|Y$;;Tiene aprendizaje del reino $COMPARISON$ $VALUE|Y$;;;;;;;;;x
#REALM_STEWARDSHIP_TRIGGER;Has realm stewardship $COMPARISON$ $VALUE|Y$;Compétence d'État en intendance $COMPARISON$ $VALUE|Y$;Reichsverwaltung ist $COMPARISON$ $VALUE|Y$;;Tiene administración del reino $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_RIVALS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ rivals;Nombre de rivaux $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Rivalen;;Tiene $COMPARISON$ $VALUE|Y$ rivales;;;;;;;;;x
NUM_FRIENDS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ friends;Nombre d'amis $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Freunde;;Tiene $COMPARISON$ $VALUE|Y$ amigos;;;;;;;;;x
NUM_SPOUSES_TRIGGER;Has $COMPARISON$ $VALUE|Y$ spouses;Nombre de conjoint(e)s $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Ehepartner;;Tiene $COMPARISON$ $VALUE|Y$ cónyuges;;;;;;;;;x
NUM_CONSORTS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ concubines;Nombre de concubines $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Konkubinen;;Tiene $COMPARISON$ $VALUE|Y$ concubinas;;;;;;;;;x
NUM_LOVERS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ lovers;Nombre d'amant(e)s $COMPARISON$ $VALUE|Y$;$COMPARISON$ $VALUE|Y$ Liebhaber;;Tiene $COMPARISON$ $VALUE|Y$ amantes;;;;;;;;;x
COMBAT_RATING_TRIGGER;Combat Rating is $COMPARISON$ $VALUE|Y$;Taux de combat $COMPARISON$ $VALUE|Y$;Kampfkraft ist $COMPARISON$ $VALUE|Y$;;Puntuación de combate es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
WEALTH_TRIGGER;Has Personal Wealth $COMPARISON$ $VALUE|Y$¤;Richesse personnelle $COMPARISON$ $VALUE|Y$¤;Persönlicher Reichtum ist $COMPARISON$ $VALUE|Y$¤;;Tiene riqueza personal de $COMPARISON$ $VALUE|Y$¤;;;;;;;;;x
DECADENCE_TRIGGER;Decadence is $COMPARISON$ $VALUE|Y$%;Décadence $COMPARISON$ $VALUE|Y%$;Dekadenz ist $COMPARISON$ §Y$VALUE$%§!;;Decadencia es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
MANPOWER_TRIGGER;Manpower is $COMPARISON$ $VALUE|Y$;Effectifs $COMPARISON$ $VALUE|Y$;Mannstärke ist $COMPARISON$ $VALUE|Y$;;Soldadesca es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MAX_MANPOWER_TRIGGER;Max Manpower is $COMPARISON$ $VALUE|Y$;Effectifs maximaux $COMPARISON$ $VALUE|Y$;Maximale Mannstärke ist $COMPARISON$ $VALUE|Y$;;Soldadesca máx. es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MANPOWER_GROWTH_TRIGGER;Manpower Growth is $COMPARISON$ $VALUE|Y$;Croissance des effectifs $COMPARISON$ $VALUE|Y$;Mannstärkezuwachs ist $COMPARISON$ $VALUE|Y$;;Aumento soldadesca es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MANPOWER_AND_POPULATION_TRIGGER;Combined Manpower and Population is $COMPARISON$ $VALUE|Y$;Effectifs et population combinés $COMPARISON$ $VALUE|Y$;Mannstärke und Bevölkerung kombiniert ist $COMPARISON$ $VALUE|Y$;;Soldadesca y población combinada es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
POPULATION_TRIGGER;Population is $COMPARISON$ $VALUE|Y$;Population $COMPARISON$ $VALUE|Y$;Bevölkerung ist $COMPARISON$ $VALUE|Y$;;Población es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MAX_MANPOWER_AND_POPULATION_TRIGGER;Combined max Manpower and Population is $COMPARISON$ $VALUE|Y$;Effectifs maximaux et population combinés $COMPARISON$ $VALUE|Y$;Maximale Mannstärke und Bevölkerung kombiniert ist $COMPARISON$ $VALUE|Y$;;Soldadesca máx. y población combinada es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MAX_POPULATION_TRIGGER;Max Population is $COMPARISON$ $VALUE|Y$;Population maximale $COMPARISON$ $VALUE|Y$;Maximale Bevölkerung ist $COMPARISON$ $VALUE|Y$;;Población máx. es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MANPOWER_AND_POPULATION_GROWTH_TRIGGER;Combined Manpower and Population growth is $COMPARISON$ $VALUE|Y$;Effectifs et croissance de population combinés $COMPARISON$ $VALUE|Y$;Mannstärke- und Bevölkerungszuwachs ist $COMPARISON$ $VALUE|Y$;;Soldadesca y aumento de población es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
POPULATION_GROWTH_TRIGGER;Population growth is $COMPARISON$ $VALUE|Y$;Croissance de la population $COMPARISON$ $VALUE|Y$;Bevölkerungszuwachs ist $COMPARISON$ $VALUE|Y$;;Aumento de población es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
POPULATION_FACTOR_TRIGGER;Population is $COMPARISON$ $VALUE|Y$% of max;La population est $COMPARISON$ $VALUE|Y%$ du maximum;Bevölkerung ist $COMPARISON$ §Y$VALUE$%§! des Maxmimums;;Población es $COMPARISON$ $VALUE|Y$% del máximo;;;;;;;;;x
HEALTH_TRIGGER;Health is $COMPARISON$ $VALUE|Y$;La santé est $COMPARISON$ $VALUE|Y$;Gesundheit ist $COMPARISON$ $VALUE|Y$;;Salud es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
BASE_HEALTH_TRIGGER;Base Health is $COMPARISON$ $VALUE|Y$;La santé de base est $COMPARISON$ $VALUE|Y$;Grundgesundheit ist $COMPARISON$ $VALUE|Y$;;Salud básica es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
FERTILITY_TRIGGER;Fertility is $COMPARISON$ $VALUE|Y$%;La fertilité est $COMPARISON$ $VALUE|Y%$;Fruchtbarkeit ist $COMPARISON$ §Y$VALUE$%§!;;Fertilidad es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
PLOT_POWER_TRIGGER;Plot Power is $COMPARISON$ $VALUE|Y$%;La puissance du complot est $COMPARISON$ $VALUE|Y%$;Verschwörungsstärke ist $COMPARISON$ §Y$VALUE$%§!;;Poder de complot es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
PLOT_POWER_CONTRIBUTION_TRIGGER;$PLOTTER|Y$'s contribution to $PLOT|Y$'s Plot Power is $COMPARISON$ $VALUE|Y$%;La contribution de $PLOTTER|Y$ à la puissance du complot '$PLOT|Y$' est $COMPARISON$ $VALUE|Y%$;Beitrag von $PLOTTER|Y$ zur Verschwörungstärke gegen $PLOT|Y$ ist $COMPARISON$ §Y$VALUE$%§!;;Contribución de $PLOTTER|Y$ al poder del complot de $PLOT|Y$ es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
SCORE_TRIGGER;Score is $COMPARISON$ $VALUE|Y$;Le score est $COMPARISON$ $VALUE|Y$;Punktestand ist $COMPARISON$ $VALUE|Y$;;Puntuación es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
PIETY_TRIGGER;[This.Religion.GetPietyName] is $COMPARISON$ $VALUE|Y$;La piété est $COMPARISON$ $VALUE|Y$;[This.Religion.GetPietyName] ist $COMPARISON$ $VALUE|Y$;;[This.Religion.GetPietyName] es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
PRESTIGE_TRIGGER;Prestige is $COMPARISON$ $VALUE|Y$;Le prestige est $COMPARISON$ $VALUE|Y$;Prestige ist $COMPARISON$ $VALUE|Y$;;Prestigio es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
DYNASTIC_PRESTIGE_TRIGGER;Dynastic Prestige is $COMPARISON$ $VALUE|Y$;Le prestige dynastique est $COMPARISON$ $VALUE|Y$;Prestige der Dynastie ist $COMPARISON$ $VALUE|Y$;;Prestigio dinástico es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
AGE_TRIGGER;Age is $COMPARISON$ $VALUE|Y$;L'âge est $COMPARISON$ $VALUE|Y$;Alter ist $COMPARISON$ $VALUE|Y$;;Edad es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
DYNASTY_MEMBERS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ dynasty members;Nombre de membres dynastiques $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Dynastiemitglieder;;Tiene $COMPARISON$ $VALUE|Y$ miembros de dinastía;;;;;;;;;x
DIFFERENT_DYNASTY_VASSALS_TRIGGER;Has vassals from $COMPARISON$ $VALUE|Y$ different dynasties;Nombre de dynasties différentes $COMPARISON$ $VALUE|Y$ parmi les vassaux;Hat Vasallen von $COMPARISON$ $VALUE|Y$ unterschiedlichen Dynastien;;Tiene vasallos de $COMPARISON$ $VALUE|Y$ dinastías distintas;;;;;;;;;x
NUM_CLAIMS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ claims;Nombre de revendications $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Ansprüche;;Tiene $COMPARISON$ $VALUE|Y$ reclamaciones;;;;;;;;;x
NUM_CLAIMS_ON_TARGET_TRIGGER;Has $COMPARISON$ $VALUE|Y$ claims on $TARGET|Y$;Nombre de revendications sur $TARGET|Y$ $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Ansprüche auf $TARGET|Y$;;Tiene $COMPARISON$ $VALUE|Y$ reclamaciones sobre $TARGET|Y$;;;;;;;;;x
DIFFICULITY_TRIGGER;Difficulty is $COMPARISON$ $VALUE|Y$;Difficulté $COMPARISON$ $VALUE|Y$;Schwierigkeitsgrad ist $COMPARISON$ $VALUE|Y$;;Dificultad es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
RELIGION_AUTHORITY_TRIGGER;Religion has Authority $COMPARISON$ $VALUE|Y$;Autorité religieuse $COMPARISON$ $VALUE|Y$;Religion hat Autorität von $COMPARISON$ $VALUE|Y$;;Religión tiene una autoridad $COMPARISON$ $VALUE|Y$;;;;;;;;;x
TITLE_TIER_TRIGGER;Title Rank is $COMPARISON$ $VALUE|Y$;Rang du titre $COMPARISON$ $VALUE|Y$;Stufe des Titel ist $COMPARISON$ $VALUE|Y$;;Rango de título es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
COMBAT_DAYS_TRIGGER;Combat has lasted $COMPARISON$ $VALUE|Y$ days;Nombre de jours du combat $COMPARISON$ $VALUE|Y$;Schlacht dauerte $COMPARISON$ $VALUE|Y$ Tage an;;Combate duró $COMPARISON$ $VALUE|Y$ días;;;;;;;;;x
