#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_IN_DYNASTY;Is NOT a member of House ;N'est pas un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2G;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2H;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2A;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§! ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2B;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2C;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2D;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2E;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2F;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2G;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2H;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein matrilineares Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
#tut_0a_6;Click the portrait. All characters have a view like this. This is the King of Scotland, and here you can see that his wife, parents and grandparents are dead. He has three children and three siblings.;;Klickt auf das Porträt. Jeder Charakter hat einen Bildschirm wie diesen. Dies ist der König von Schottland und wie Ihr hier sehen könnt, sind seine Frau, seine Eltern und seine Großeltern tot. Er hat drei Kinder und drei Geschwister.;;Pincha en el retrato. Todos los personajes tienen una vista como esta. Este es el Rey de Escocia, y aqu?puedes ver que tanto su mujer, comos sus padress y abuelos están muertos. Tiene tres hijos y tres hermanos.;;;;;;;;;x
