#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
EVTDESC_MNM_5109_other_society;I have recently come into possession of some manner of 'alchemical' ingredients. I am not entirely sure what to make of it! Regardless, the [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;J'ai récemment pris possession d'ingrédients « alchimiques ». Je ne sais pas quoi en faire ! Quoi qu'il en soit, [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;Ich bin vor Kurzem in den Besitz einer Art sogenannter alchemistischer Zutaten gelangt. Ich bin mir nicht gänzlich sicher, was ich davon halten soll! Wie dem auch sei: [GetSelectedIngredient_1], [GetSelectedIngredient_1_property].;;Recientemente me he hecho con una especie de ingredientes «alquímicos». ¡No sé muy bien cómo usarlos! Bueno, [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;;;;;;;;;x
EVTDESC_MNM_5109_no_society;I have recently come into possession of some manner of alchemical ingredients. While I admit I'm intrigued, the [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;J'ai récemment pris possession d'ingrédients alchimiques. Bien que je sois intrigué[Root.GetNoneE], [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;Ich bin vor Kurzem in den Besitz einer Art alchemistischer Zutaten gelangt. Ich muss zugeben, dass ich fasziniert bin: [GetSelectedIngredient_1], [GetSelectedIngredient_1_property].;;Recientemente me he hecho con un tipo de ingredientes alquímicos. Aunque admito que siento curiosidad, [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;;;;;;;;;x
EVTDESC_MNM_5109_child;I am told that I have recently come into possession of 'alchemical ingredients'. While I am not certain what that means, the [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;On me dit que je viens d'entrer en possession d'ingrédients alchimiques. Bien que je ne sois pas certain[Root.GetNoneE] de ce que cela signifie, [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;Mir wird gesagt, ich sei vor Kurzem in den Besitz sogenannter alchemistischer Zutaten gelangt. Obzwar ich nicht weiß, was dies bedeutet: [GetSelectedIngredient_1], [GetSelectedIngredient_1_property].;;Me dicen que me he hecho con unos «ingredientes alquímicos». Aunque no sé muy bien qué significa, [GetSelectedIngredient_1] [GetSelectedIngredient_1_property].;;;;;;;;;x
EVTOPTA_MNM_5109;I have no use for things like [GetSelectedIngredient_1] and [GetSelectedIngredient_2].;Je n'ai aucune utilité pour des choses comme [GetSelectedIngredient_1] et [GetSelectedIngredient_2].;Ich habe keine Verwendung für Dinge wie [GetSelectedIngredient_1] und [GetSelectedIngredient_2].;;Ya no necesito cosas como [GetSelectedIngredient_1] y [GetSelectedIngredient_2].;;;;;;;;;x
EVTOPTB_MNM_5109;These things are bordering heresy!;Ces choses frisent l'hérésie !;Diese Dinge grenzen an Ketzerei!;;¡Esas cosas rozan la herejía!;;;;;;;;;x
EVTOPTC_MNM_5109;I don't really mind keeping them around.;Je n'aime pas les garder autour.;Es macht mir nichts aus, diese Dinge in meinem Besitz zu haben.;;No me importa guardarlas.;;;;;;;;;x
String_is_surprisingly_fragrant;is surprisingly fragrant;a un étonnant parfum;ist überraschend wohlriechend;;es sorprendentemente fragante;;;;;;;;;x
String_are_surprisingly_fragrant;are surprisingly fragrant;ont un étonnant parfum;sind überraschend wohlriechend;;son sorprendentemente fragantes;;;;;;;;;x
String_is_faintly_fragrant;is faintly fragrant;a un léger parfum;ist schwach wohlriechend;;es ligeramente fragante;;;;;;;;;x
String_are_faintly_fragrant;are faintly fragrant;ont un léger parfum;sind schwach wohlriechend;;son ligeramente fragantes;;;;;;;;;x
String_has_turned_to_dust;has almost turned to dust;est presque devenu de la poussière;ist fast zu Staub zerfallen;;se ha convertido casi en polvo;;;;;;;;;x
String_have_turned_to_dust;have almost turned to dust;sont presque devenus de la poussière;sind fast zu Staub verfallen;;se han convertido casi en polvo;;;;;;;;;x
String_reminds_me_of_them;somehow reminds me of something funny;me rappelle quelque chose de drôle;erinnert mich irgendwie an etwas Lustiges;;me recuerda un poco a algo divertido;;;;;;;;;x
String_remind_me_of_them;somehow remind me of something funny;me rappellent quelque chose de drôle;erinnern mich irgendwie an etwas Lustiges;;me recuerdan un poco a algo divertido;;;;;;;;;x
String_carries_an_unpleasant_smell;carries an unpleasant smell;a une odeur désagréable;hat einen unangenehmen Geruch;;tiene un olor desagradable;;;;;;;;;x
String_carry_an_unpleasant_smell;carry an unpleasant smell;ont une odeur désagréable;haben einen unangenehmen Geruch;;tienen un olor desagradable;;;;;;;;;x
String_is_fantastically_shiny;is fantastically shiny;est fabuleusement brillant;glänzt fantastisch;;es extraordinariamente brillante;;;;;;;;;x
String_are_fantastically_shiny;are fantastically shiny;sont fabuleusement brillants;glänzen fantastisch;;son extraordinariamente brillantes;;;;;;;;;x
String_should_not_be_touched;should probably not be touched;ne devrait probablement pas être touché;sollte man wahrscheinlich nicht anfassen;;probablemente no debería tocarse;;;;;;;;;x
String_should_definitely_not_be_touched;should definitely not be touched;ne devraient certainement pas être touchés;sollte man mit Sicherheit nicht anfassen;;no debería tocarse;;;;;;;;;x
String_would_make_most_people_uncomfortable;would make most people uncomfortable;rendrait la plupart des gens mal à l'aise;würde die meisten Menschen beunruhigen;;pondría incómodo a casi cualquiera;;;;;;;;;x
String_is_glass_jar;is gross, even in a glass jar;est répugnant, même dans un pot en verre;ist selbst in einem Glasgefäß abscheulich;;es repugnante, incluso dentro de un tarro;;;;;;;;;x
String_are_in_glass_jar;are gross, even when they're preserved in a glass jar;sont répugnants, même lorsqu'ils sont conservés dans un pot en verre;sind selbst dann abscheulich, wenn sie in einem Glasgefäß aufbewahrt werden;;son repugnantes, incluso dentro de un tarro;;;;;;;;;x
String_has_an_eerie_color;has an eerie color to it;a une couleur sinistre;hat eine unheimliche Farbe;;tiene un color espeluznante;;;;;;;;;x
String_have_an_eerie_color;have an eerie color to them;ont une couleur sinistre;haben eine unheimliche Farbe;;tienen un color espeluznante;;;;;;;;;x
String_is_disgusting;is sort of disgusting to look at;est dégoûtant à regarder;sieht irgendwie abscheulich aus;;da un poco de asco;;;;;;;;;x
String_are_disgusting;are disgusting to look at;sont dégoûtants à regarder;sehen irgendwie abscheulich aus;;dan un poco de asco;;;;;;;;;x
String_might_take_up_too_much_space;might be taking up too much space in my laboratory;pourrait prendre trop d'espace dans mon laboratoire;könnte in meinem Labor zu viel Platz einnehmen;;ocuparía demasiado sitio en mi laboratorio;;;;;;;;;x
String_does_not_send_desired_message;does not really send a message I can identify with;n'envoie pas vraiment un message que je peux identifier;vermittelt keine Botschaft, mit der ich mich wirklich identifizieren kann;;no enviaría el mensaje que querría;;;;;;;;;x
String_do_not_send_desired_message;do not really send a message I can identify with;n'envoient pas vraiment un message que je peux identifier;vermitteln keine Botschaft, mit der ich mich wirklich identifizieren kann;;no enviarían el mensaje que querría;;;;;;;;;x
String_does_not_contribute_to_the_decor;doesn't really contribute to the decor of my [Root.GetCapitalHolding];ne contribue pas vraiment à la décoration [Root.GetCapitalHoldingDuDela];trägt nicht zum Dekor meiner [Root.GetCapitalHolding] bei;;no le aporta mucho a la decoración de mi [Root.GetCapitalHolding];;;;;;;;;x
String_do_not_contribute_to_the_decor;don't really contribute to the decor of my [Root.GetCapitalHolding];ne contribuent pas vraiment à la décoration [Root.GetCapitalHoldingDuDela];tragen nicht zum Dekor meiner [Root.GetCapitalHolding] bei;;no le aportan mucho a la decoración de mi [Root.GetCapitalHolding];;;;;;;;;x
String_is_somewhat_pretty;is somewhat nice to look at;est assez agréable à regarder;sieht eigentlich recht nett aus;;es agradable a la vista;;;;;;;;;x
String_are_somewhat_pretty;are somewhat nice to look at;sont assez agréables à regarder;sehen eigentlich recht nett aus;;son agradables a la vista;;;;;;;;;x
String_makes_me_shiver;makes me shiver;me fait frissonner;lässt mich erschauern;;me da escalofríos;;;;;;;;;x
String_make_me_shiver;make me shiver;me font frissonner;lassen mich erschauern;;me dan escalofríos;;;;;;;;;x
String_might_possess_hidden_uses;could perhaps possess some hidden properties;pourrait posséder quelques propriétés cachées;könnte womöglich einige verborgene Eigenschaften besitzen;;quizá tenga propiedades ocultas;;;;;;;;;x
String_reeks;makes my nose twitch from its reeking;me fait reculer à cause de sa puanteur;strahlt einen abstoßenden Gestank aus;;su hedor provoca que se me arrugue la nariz;;;;;;;;;x
String_reek;make my nose twitch from their reeking;me font reculer à cause de leur puanteur;strahlen einen abstoßenden Gestank aus;;su hedor provoca que se me arrugue la nariz;;;;;;;;;x
String_glitters;glitters faintly;scintille légèrement;glitzert ein wenig;;brilla vagamente;;;;;;;;;x
String_glitter;glitter faintly;scintillent légèrement;glitzern ein wenig;;brillan vagamente;;;;;;;;;x
EVTDESC_MNM_5110;My fellow members of the Order sometimes speak of intricate charms and recipes to ward off evil, and perhaps I should take precautions too. Considering the stars of the [GetWesternZodiacSign], I nod to myself – the [GetSelectedIngredient_1] on my shelves [GetSelectedIngredient_1_property].;Mes frères de l'Ordre parlent parfois de charmes et de recettes complexes pour chasser le mal, et peut-être devrais-je aussi prendre des précautions. Compte tenu des étoiles du signe '[GetWesternZodiacSign]', j'acquiesce à moi-même - [GetSelectedIngredient_1] sur mes étagères [GetSelectedIngredient_1_property].;Die anderen Ordensmitglieder sprechen zuweilen von kunstvollen Amuletten, Zaubersprüchen und Rezepturen, um Böses abzuwenden. Vielleicht sollte ich ebenfalls Vorsichtsmaßnahmen ergreifen. Angesichts der Sterne des Zeichens [GetWesternZodiacSign] nicke ich mir selbst zu: [GetSelectedIngredient_1] in meinen Regalen, [GetSelectedIngredient_1_property].;;A veces, mis compañeros de la Orden hablan de recetas y encantamientos complicados para mantener alejado al mal. Quizás yo también deba tomar precauciones. Considerando las estrellas de [GetWesternZodiacSign], asiento. Tengo [GetSelectedIngredient_1] en mis estantes [GetSelectedIngredient_1_property].;;;;;;;;;x
EVTOPTA_MNM_5110;The [GetSelectedIngredient_1] strategically placed in my quarters should suffice.;Placer [GetSelectedIngredient_1] stratégiquement dans mes quartiers devrait suffire.;Es dürfte genügen, [GetSelectedIngredient_1] in meinen Gemächern strategisch zu platzieren.;;Tengo [GetSelectedIngredient_1] en un lugar estratégico de mis aposentos. Eso servirá.;;;;;;;;;x
EVTOPTB_MNM_5110;I will use a combination of elements for this task.;Je vais utiliser une combinaison d'éléments pour cette tâche.;Ich werde für diese Aufgabe eine Kombination von Elementen verwenden.;;Combinaré una serie de elementos para esta tarea.;;;;;;;;;x
EVTOPTC_MNM_5110;I'll paint my whole castle with the holy symbols! It's the only way!;Je vais peindre les symboles sacrés sur chaque mur ! C'est la seule solution !;Ich werde meine ganze Burg mit den heiligen Symbolen bemalen! Das ist der einzige Weg!;;¡Pintaré todo el castillo con los símbolos sagrados! ¡Es la única manera!;;;;;;;;;x
EVTOPTD_MNM_5110;This is foolish paranoia.;C'est une paranoïa folle.;Das ist närrischer Verfolgungswahn.;;Todo esto es pura paranoia.;;;;;;;;;x
must_have_ingredients_tt;Has at least two §YIngredients§!;A au moins deux §Yingrédients§!;Hat mindestens zwei §YZutaten§!;;Tiene al menos dos §Yingredientes§!.;;;;;;;;;x
EVTDESC_MNM_5115_self;In this state, I almost do not care about the quality of my potion. Still, while rummaging through my drawers, I can't quite decide on which ingredients to use... The [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], I suppose.;Dans cet état, je ne me soucie presque pas de la qualité de ma potion. Pourtant, tout en fouillant à travers mes tiroirs, je ne peux pas tout à fait décider sur quels ingrédients utiliser... Le [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], je suppose.;In diesem Zustand mache ich mir um die Qualität meines Trankes fast keine Sorgen. Dennoch kann ich beim Durchstöbern meiner Schubladen nicht so recht entscheiden, welche Zutaten ich verwenden soll ... [GetSelectedIngredient_1], [GetSelectedIngredient_1_property], nehme ich an.;;En este momento, me da bastante igual la calidad de mi poción. Sin embargo, mientras hurgo en mis cajones, no logro decidirme por los ingredientes... [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], supongo.;;;;;;;;;x
EVTDESC_MNM_5115_other;[potion_target.GetTitledFirstName] will likely accept my brew, regardless of the quality. However, sifting through my recipes, I can't quite decide on which ingredients to use... While the [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], I wonder what my [potion_target.GetRootRelation] would think.;[potion_target.GetTitledFirstName] acceptera probablement mon infusion, quelle qu'en soit la qualité. Cependant, passant en revue mes recettes, je ne peux pas vraiment décider quels ingrédients utiliser... Alors que [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], je me demande ce que m[potion_target.GetOnA] [potion_target.GetRootRelation] en penserait.;[potion_target.GetTitledFirstName] wird mein Gebräu wahrscheinlich unerachtet der Qualität akzeptieren. Ich kann jedoch beim Durchsuchen meiner Rezepturen nicht so recht entscheiden, welche Zutaten ich verwenden soll ... [GetSelectedIngredient_1], [GetSelectedIngredient_1_property], doch ich frage mich, was m[potion_target.Geteineine] [potion_target.GetRootRelation] davon halten würde.;;Probablemente [potion_target.GetTitledFirstName] acepte mi preparación sin mirar la calidad. Sin embargo, mientras hurgo entre mis recetas, no logro decidirme por los ingredientes... [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], pero me pregunto qué pensará mi [potion_target.GetRootRelation].;;;;;;;;;x
EVTOPTA_MNM_5115_herb;Some crushed [GetSelectedIngredient_1] feels about right.;Prendre du [GetSelectedIngredient_1] écrasé semble bien.;Etwas zerdrücktes [GetSelectedIngredient_1] erscheint mir angemessen.;;Machacaré un poco de [GetSelectedIngredient_1]... Creo que es lo correcto.;;;;;;;;;x
EVTOPTA_MNM_5115_animal_part;Some coarsely ground [GetSelectedIngredient_1] feels about right.;Un peu de [GetSelectedIngredient_1] moulu semble bien.;Etwas grob zermahlenes [GetSelectedIngredient_1] erscheint mir angemessen.;;Machacaré ligeramente un poco de [GetSelectedIngredient_1]... Creo que es lo correcto.;;;;;;;;;x
EVTOPTA_MNM_5115_powder;A few flakes of [GetSelectedIngredient_1] feels about right.;De la poudre [GetSelectedIngredient_1] semble bien.;Ein paar Flocken [GetSelectedIngredient_1] erscheinen mir angemessen.;;Unas láminas de [GetSelectedIngredient_1]... Creo que es lo correcto.;;;;;;;;;x
EVTOPTA_MNM_5115_liquid;A little [GetSelectedIngredient_1] feels about right.;Prendre [GetSelectedIngredient_1] semble bien.;Ein wenig [GetSelectedIngredient_1] erscheint mir angemessen.;;Un poco de [GetSelectedIngredient_1]... Creo que es lo correcto.;;;;;;;;;x
EVTOPTB_MNM_5115_herb;A bit of crushed [GetSelectedIngredient_2] gives that particular scent.;Prendre du [GetSelectedIngredient_2] en poudre donnerait un parfum particulier.;Ein bisschen zerdrücktes [GetSelectedIngredient_2] erzeugt diesen besonderen Geruch.;;Si machaco una pizca de [GetSelectedIngredient_2], le dará un aroma particular.;;;;;;;;;x
EVTOPTB_MNM_5115_animal_part;Some dried [GetSelectedIngredient_2] leaves a potent after-taste.;Prendre du [GetSelectedIngredient_2] en poudre laisserait un fort arrière-goût.;Etwas getrocknetes [GetSelectedIngredient_2] hinterlässt einen starken Nachgeschmack.;;Unas hojas secas de [GetSelectedIngredient_2] le darán un regusto intenso.;;;;;;;;;x
EVTOPTB_MNM_5115_powder;Some sprinkles of [GetSelectedIngredient_2] should do the trick!;Une pincée de [GetSelectedIngredient_2] devrait faire l'affaire !;Eine Prise [GetSelectedIngredient_2] dürfte den gewünschten Zweck erfüllen!;;¡Unas gotitas de [GetSelectedIngredient_2] deberían bastar!;;;;;;;;;x
EVTOPTB_MNM_5115_liquid;A few drops of [GetSelectedIngredient_2] is perhaps the best option.;Quelques gouttes de [GetSelectedIngredient_2] est peut-être la meilleure option.;Ein paar Tropfen [GetSelectedIngredient_2] sind vielleicht die beste Wahl.;;Algunas gotas de [GetSelectedIngredient_2] puede que sean la mejor opción.;;;;;;;;;x
EVTOPTC_MNM_5115_herb;A single dose of crushed [GetSelectedIngredient_2] should be adequate.;Une seule dose de [GetSelectedIngredient_2] devrait être adéquate.;Eine einzige Dosis zerdrücktes [GetSelectedIngredient_2] dürfte angemessen sein.;;Una sola dosis de [GetSelectedIngredient_2] machacado/a debería valer.;;;;;;;;;x
EVTOPTC_MNM_5115_animal_part;A moderate amount of ground [GetSelectedIngredient_2] should suffice.;Une quantité modérée de [GetSelectedIngredient_2] devrait suffire.;Eine bescheidene Menge zermahlenes [GetSelectedIngredient_2] dürfte genügen.;;Una cantidad moderada de [GetSelectedIngredient_2] en polvo debería bastar.;;;;;;;;;x
EVTOPTC_MNM_5115_powder;Some sprinkles of [GetSelectedIngredient_2] is just what I need.;Une pincée de [GetSelectedIngredient_2] est exactement ce dont j'ai besoin.;Eine Prise [GetSelectedIngredient_2] ist genau das, was ich brauche.;;Unas gotitas de [GetSelectedIngredient_2] es justo lo que necesito.;;;;;;;;;x
EVTOPTC_MNM_5115_liquid;A splash of [GetSelectedIngredient_2] is perhaps the best option.;Un petit peu de [GetSelectedIngredient_2] est peut-être la meilleure option.;Ein Schuss [GetSelectedIngredient_2] ist vielleicht die beste Wahl.;;Un chorrito de [GetSelectedIngredient_2] puede que sea la mejor opción.;;;;;;;;;x
EVTOPTD_MNM_5115;I might just combine the two!;Je pourrais simplement combiner les deux !;Ich könnte ja beides kombinieren!;;¡Combinaré las dos cosas!;;;;;;;;;x
EVTOPTD_MNM_5115_duplicate;I could also use twice as much...!;Je pourrais aussi en utiliser le double !;Ich könnte auch die doppelte Menge nehmen!;;¿Y si le pongo el doble...?;;;;;;;;;x
EVTOPTE_MNM_5115;Actually, I'll just empty the cabinet. Throw it all in there!;En fait, je vais juste vider le coffret et tout y mettre !;Ich werde einfach den ganzen Schrank leeren. Werft alles hinein!;;De hecho, voy a vaciar la botica. ¡Lo pondré todo!;;;;;;;;;x
EVTOPTE_MNM_5115_tt;Desperate times call for desperate measures.\n;À situation désespérée, solution désespérée.\n;Außergewöhnliche Zeiten erfordern außergewöhnliche Maßnahmen.\n;;Los momentos desesperados requieren medidas desesperadas.\n;;;;;;;;;x
must_not_already_be_preparing_potion_tt;NOT already preparing a potion;Ne prépare pas déjà un breuvage magique;Bereitet NICHT bereits einen Trank zu;;Aún no está preparando una poción.;;;;;;;;;x
###############################################################;
# Monks and Mystics Post-release Patch loc batch 2 2017-03-24;
#;
# CODE;ENGLISH;FRENCH;GERMAN;;SPANISH
###############################################################;
EVTDESC_MNM_4950;After spending some time talking with [From.GetTitledFirstName], I have provided enough spiritual guidance to free [From.GetHerHim] of [From.GetHerHis] sinful ways.;J'ai fourni suffisamment de conseils spirituels à [From.GetTitledFirstName] pour [From.GetLeLa] libérer de ses mauvais penchants.;Nachdem ich einige Zeit mit [From.GetTitledFirstName] gesprochen habe, habe ich genug spirituelle Weisung erteilt, um [From.GetTitledFirstName] von [From.GetHerHis]em sündigen Lebenswandel abzubringen.;;Tras haber hablado un buen rato con [From.GetTitledFirstName], mi orientación espiritual hará que abandone sus costumbres pecaminosas.;;;;;;;;;x
EVTDESC_MNM_4951;After spending some time talking with [FromFrom.GetTitledFirstName], I have realized the errors of my ways and freed myself of my sinful ways.;J'ai réalisé en parlant avec [FromFrom.GetTitledFirstName] que mon comportement était fautif et me suis libéré[Root.GetNoneE] de mes mauvais penchants.;Nachdem ich einige Zeit mit [FromFrom.GetTitledFirstName] gesprochen habe, habe ich die Fehler meines Lebenswandels eingesehen und von meinem sündigen Lebenswandel abgelassen.;;Tras haber hablado un buen rato con [FromFrom.GetTitledFirstName], he reconocido mis errores y me he liberado de mis costumbres pecaminosas.;;;;;;;;;x
EVTDESC_MNM_4960;[From.GetTitledFirstName] listened to me carefully as I explained to [From.GetHerHim] how to be more virtuous, and [From.GetSheHe] seems to have come out of our discussion a better [From.GetManWoman].;[From.GetTitledFirstName] m'a écouté attentivement lorsque je lui ai expliqué comment être plus vertueu[From.GetXSe], et [From.GetIlElle] semble être devenu[From.GetNoneE] un[From.GetNoneE] meilleur[From.GetNoneE] [From.GetManWoman] après notre discussion.;[From.GetTitledFirstName] hat mir aufmerksam zugehört, als ich erklärte, wie [From.GetSheHe] tugendhafter sein könne, und scheint durch unsere Unterhaltung ein besserer Mensch geworden zu sein.;;[From.GetTitledFirstName] me ha escuchado atentamente mientras le explicaba cómo adquirir mayor virtud y parece que, a raíz de nuestra conversación, ahora es una persona mejor.;;;;;;;;;x
EVTDESC_MNM_4961;[FromFrom.GetTitledFirstName] clearly explained how [From.GetSheHe] deals with this sometimes unforgiving and stressful life through virtue. Listening to [FromFrom.GetHerHim], I have learned to be more at peace with myself, by being more virtuous.;[FromFrom.GetTitledFirstName] a clairement expliqué comment [From.GetIlElle] gérait cette vie parfois impitoyable et stressante en faisant preuve de vertu. En l'écoutant, j'ai appris à être plus en paix avec moi-même, à être moi aussi vertueu[Root.GetXSe].;[FromFrom.GetTitledFirstName] hat klar erläutert, wie [From.GetSheHe] durch Tugend mit diesem zuweilen erbarmungslosen und aufreibenden Leben zurechtkommt. Indem ich [FromFrom.GetHerHis]en Worten lauschte, habe ich gelernt, durch eine tugendhaftere Lebensweise meinen Frieden zu finden.;;[FromFrom.GetTitledFirstName] me ha explicado claramente cómo se enfrenta a esta vida, a menudo despiadada y azarosa, mediante la virtud. He escuchado atentamente y he aprendido a estar en paz con mi persona profesando una mayor virtud.;;;;;;;;;x
monastic_orders_spiritual_guidance;Give Spiritual Guidance;Donner des conseils spirituels;Spirituelle Weisung erteilen;;Dar orientación espiritual;;;;;;;;;x
monastic_orders_spiritual_guidance_desc;You know [Root.GetTitledFirstName] to be a sinful person. As such you can provide spiritual guidance to help rid [Root.GetHerHim] of one of [Root.GetHerHis] vices.;Vous savez que [Root.GetTitledFirstName] est dans le péché. En tant que tel, vous pouvez lui donner des conseils spirituels pour l'aider à se débarrasser d'un des ses vices.;Ihr wisst, dass [Root.GetTitledFirstName] ein sündhafter Mensch ist. Daher könnt Ihr spirituelle Weisung erteilen, damit [Root.GetSheHe] eines [Root.GetHerHis]er Laster aufgibt.;;Sabes que [Root.GetTitledFirstName] es una persona pecaminosa. Puedes proporcionarle orientación espiritual para conseguir que abandone uno de sus vicios.;;;;;;;;;x
monastic_orders_spiritual_guidance_power_desc;Enables you to §Gright-click§! on landed characters within your realm, or relatives, or fellow society members, in order to remove one of their vices. You can only remove a vice that you don't have yourself.;Permet de faire perdre un vice que vous n'avez pas à un personnage possédant des terres dans votre pays, un parent ou un membre de votre société.\n(Faites un clic droit sur leurs portraits);Ermöglicht einen §GRechtsklick§! auf begüterte Personen in Eurem Reich, auf Verwandte oder auf andere Mitglieder Eures Zirkels, um sie von einem ihrer Laster zu befreien. Ihr könnt nur ein Laster entfernen, das Ihr selbst nicht habt.;;Te permite hacer §Gclic con el botón secundario§! sobre personajes hacendados de tu reino, familiares o miembros de una sociedad a la que perteneces para eliminar uno de sus vicios. Solo puedes eliminar un vicio que tú no tengas.;;;;;;;;;x
opinion_spiritual_guidance;Received Spiritual Guidance;A reçu des conseils spirituels;Erhielt spirituelle Weisung;;Orientación espiritual recibida;;;;;;;;;x
spiritual_guidance_tooltip;Has a sin that §Y[From.GetTitledFirstName]§! does NOT have;A un péché que §Y[From.GetTitledFirstName]§! n'a pas;Hat eine Sünde, die §Y[From.GetTitledFirstName]§! NICHT hat;;Tiene un pecado que §Y[From.GetTitledFirstName]§! NO tiene.;;;;;;;;;x
monastic_orders_teach_virtue;Teach Virtue;Enseigner la vertu;Tugend lehren;;Inculcar virtud;;;;;;;;;x
monastic_orders_teach_virtue_desc;You have noticed how [Root.GetTitledFirstName] sometimes struggles with doing the right thing. You could change that by teaching [Root.GetHerHim] one of your many virtues.;Vous avez remarqué que [Root.GetTitledFirstName] a du mal à bien se comporter. Vous pourriez l'aider en lui enseignant une de vos vertus.;Ihr habt bemerkt, dass es [Root.GetTitledFirstName] zuweilen schwerfällt, das Richtige zu tun. Dies könnt Ihr ändern, indem Ihr [Root.GetTitledFirstName] eine Eurer vielen Tugenden lehrt.;;Has notado que a veces [Root.GetTitledFirstName] tiene problemas para hacer lo correcto. Puedes cambiar esto inculcando a esta persona una de tus muchas virtudes.;;;;;;;;;x
monastic_orders_teach_virtue_power_desc;Enables you to §Gright-click§! on landed characters within your realm, relatives, or fellow society members, in order to give them a new virtue. You can only add a virtue that you have yourself.;Permet de transmettre une de vos vertus à un personnage possédant des terres dans votre pays, un parent ou un membre de votre société.\n(Faites un clic droit sur leurs portraits);Ermöglicht einen §GRechtsklick§! auf begüterte Personen in Eurem Reich, auf Verwandte oder auf andere Mitglieder Eures Zirkels, um ihnen eine neue Tugend zu geben. Ihr könnt nur eine Tugend hinzufügen, die Ihr selbst besitzt.;;Te permite hacer §Gclic con el botón secundario§! sobre personajes hacendados de tu reino, familiares o miembros de una sociedad a la que perteneces para darles una nueva virtud. Solo puedes añadir una virtud que tú ya poseas.;;;;;;;;;x
opinion_teach_virtue;Taught a Virtue;A transmis une vertu;Hat eine Tugend gelehrt;;Virtud inculcada;;;;;;;;;x
teach_virtue_tooltip;Does NOT have all the virtues that §Y[From.GetTitledFirstName]§! has;N'a pas toutes les vertus que §Y[From.GetTitledFirstName]§! a;Besitzt NICHT alle Tugenden, die §Y[From.GetTitledFirstName]§! besitzt;;NO tiene todas las virtudes que tiene §Y[From.GetTitledFirstName]§!.;;;;;;;;;x
EVTDESC20271;To [Root.GetTitledFirstName],\nYour findings have proven to be most fascinating and I am now convinced to follow in your footsteps and immediately convert to the [Root.Religion.GetName] faith. However, I have chosen to keep this hidden to avoid prying eyes. I urge you to do the same!\n\nYour liege, [From.GetTitledFirstName];[Root.GetTitledFirstName],\nVos conclusions se sont avérées être des plus fascinantes et je suis déterminé[From.GetNoneE] à suivre vos pas et à adopter la foi [Root.Religion.GetName]. Cependant, j'ai choisi de le garder caché pour éviter les regards indiscrets. Je vous exhorte à faire de même !\n\nVotre [From.GetLordLady] lige, [From.GetTitledFirstName];An [Root.GetTitledFirstName],\nEure Erkenntnisse haben sich als höchst interessant erwiesen und ich bin jetzt so überzeugt, dass ich es Euch gleichtun und sofort zum [Root.Religion.GetName]en Glauben konvertieren werde. Ich habe jedoch beschlossen, dies geheim zu halten, um keine neugierigen Blicke auf mich zu lenken. Ich bitte Euch eindringlich, dasselbe zu tun!\n\nEuer Lehnsherr [From.GetTitledFirstName];;[Root.GetTitledFirstName]:\nTus averiguaciones han resultado fascinantes y me he decidido a seguir tus pasos y convertirme a la fe [Root.Religion.GetName]. Sin embargo, prefiero mantenerlo oculto a las malas lenguas. ¡Te aconsejo que hagas lo mismo!\n\nTu señor/a, [From.GetTitledFirstName].;;;;;;;;;x
EVTOPTA20271;A wise decision.;Une sage décision.;Eine weise Entscheidung.;;Sabia decisión.;;;;;;;;;x
EVTOPTB20271;To hide who I am? Never!;Pour cacher qui je suis ? Jamais !;Verbergen, wer ich bin? Niemals!;;¿Ocultar lo que soy? ¡Jamás!;;;;;;;;;x
#DESTROY_ARTIFACT;is destroyed and removed from $WHO|Y$'s treasury\n;est détruit et retiré du trésor de $WHO|Y$\n;ist zerstört und wird aus der Schatzkammer von $WHO|Y$ entfernt\n;;es destruido/ y eliminado/a de la cámara del tesoro de $WHO|Y$.\n;;;;;;;;;x
#DESTROY_ARTIFACT_NO_OWNER;is destroyed\n;est détruit\n;ist zerstört\n;;es destruido/a.\n;;;;;;;;;x
secretly_convert_to_province_religion;Secretly Convert to [Root.Location.Religion.GetName];Adopter en secret la foi [Root.Location.Religion.GetName];Heimlich zur [Root.Location.Religion.GetName]en Religion konvertieren;;Convertirse en secreto a esta religión: [Root.Location.Religion.GetName];;;;;;;;;x
